fecha,tipo,cobertura_nubosa,sensor,ruta_archivo,tamano_mb
2026-03-28,RGB,1.51,Sentinel-2B L2A,2026-03-28_RGB.png,0.14
2026-03-28,ThermalFalseColor,1.51,Sentinel-2B L2A,2026-03-28_ThermalFalseColor.png,0.11
2026-03-25,RGB,75.01,Sentinel-2B L2A,2026-03-25_RGB.png,0.05
2026-03-25,ThermalFalseColor,75.01,Sentinel-2B L2A,2026-03-25_ThermalFalseColor.png,0.12
2026-03-22,RGB,94.44,Sentinel-2A L2A,2026-03-22_RGB.png,0.11
2026-03-22,ThermalFalseColor,94.44,Sentinel-2A L2A,2026-03-22_ThermalFalseColor.png,0.19
2026-03-20,RGB,78.29,Sentinel-2C L2A,2026-03-20_RGB.png,0.0
2026-03-20,ThermalFalseColor,78.29,Sentinel-2C L2A,2026-03-20_ThermalFalseColor.png,0.17
2026-03-18,RGB,99.8,Sentinel-2B L2A,2026-03-18_RGB.png,0.0
2026-03-18,ThermalFalseColor,99.8,Sentinel-2B L2A,2026-03-18_ThermalFalseColor.png,0.07
2026-03-15,RGB,77.72,Sentinel-2B L2A,2026-03-15_RGB.png,0.0
2026-03-15,ThermalFalseColor,77.72,Sentinel-2B L2A,2026-03-15_ThermalFalseColor.png,0.17
2026-03-13,RGB,88.57,Sentinel-2C L2A,2026-03-13_RGB.png,0.0
2026-03-13,ThermalFalseColor,88.57,Sentinel-2C L2A,2026-03-13_ThermalFalseColor.png,0.1
2026-03-12,ThermalFalseColor,12.86,Sentinel-2A L2A,2026-03-12_ThermalFalseColor.png,0.38
2026-03-12,RGB,12.86,Sentinel-2A L2A,2026-03-12_RGB.png,0.53
2026-03-10,RGB,0.08,Sentinel-2C L2A,2026-03-10_RGB.png,0.58
2026-03-10,ThermalFalseColor,0.08,Sentinel-2C L2A,2026-03-10_ThermalFalseColor.png,0.41
2026-03-08,RGB,1.44,Sentinel-2B L2A,2026-03-08_RGB.png,0.29
2026-03-08,ThermalFalseColor,1.44,Sentinel-2B L2A,2026-03-08_ThermalFalseColor.png,0.21
2026-03-05,RGB,4.85,Sentinel-2B L2A,2026-03-05_RGB.png,0.59
2026-03-05,ThermalFalseColor,4.85,Sentinel-2B L2A,2026-03-05_ThermalFalseColor.png,0.41
2026-03-03,RGB,99.41,Sentinel-2C L2A,2026-03-03_RGB.png,0.0
2026-03-03,ThermalFalseColor,99.41,Sentinel-2C L2A,2026-03-03_ThermalFalseColor.png,0.16
2026-02-28,RGB,98.45,Sentinel-2C L2A,2026-02-28_RGB.png,0.0
2026-02-28,ThermalFalseColor,98.45,Sentinel-2C L2A,2026-02-28_ThermalFalseColor.png,0.02
2026-02-26,RGB,74.43,Sentinel-2B L2A,2026-02-26_RGB.png,0.56
2026-02-26,ThermalFalseColor,74.43,Sentinel-2B L2A,2026-02-26_ThermalFalseColor.png,0.4
