fecha,tipo,cobertura_nubosa,sensor,ruta_archivo,tamano_mb
2026-02-13,ThermalFalseColor,0.0,Sentinel-2B,ThermalFalseColor/2026-02-13_ThermalFalseColor.png,0.45
2026-02-13,RGB,0.0,Sentinel-2B,RGB/2026-02-13_RGB.png,0.65
2026-02-11,ThermalFalseColor,24.29,Sentinel-2B,ThermalFalseColor/2026-02-11_ThermalFalseColor.png,0.33
2026-02-11,RGB,24.29,Sentinel-2B,RGB/2026-02-11_RGB.png,0.39
2026-02-08,ThermalFalseColor,2.72,Sentinel-2B,ThermalFalseColor/2026-02-08_ThermalFalseColor.png,0.46
2026-02-08,RGB,2.72,Sentinel-2B,RGB/2026-02-08_RGB.png,0.67
2026-02-06,RGB,0.42,Sentinel-2B,RGB/2026-02-06_RGB.png,0.63
2026-02-06,ThermalFalseColor,0.42,Sentinel-2B,ThermalFalseColor/2026-02-06_ThermalFalseColor.png,0.44
2026-02-03,RGB,91.27,Sentinel-2B,RGB/2026-02-03_RGB.png,0.01
2026-02-03,ThermalFalseColor,91.27,Sentinel-2B,ThermalFalseColor/2026-02-03_ThermalFalseColor.png,0.17
2026-02-01,RGB,0.67,Sentinel-2B,RGB/2026-02-01_RGB.png,0.64
2026-02-01,ThermalFalseColor,0.67,Sentinel-2B,ThermalFalseColor/2026-02-01_ThermalFalseColor.png,0.46
2026-01-29,ThermalFalseColor,0.0,Sentinel-2B,ThermalFalseColor/2026-01-29_ThermalFalseColor.png,0.46
2026-01-29,RGB,0.0,Sentinel-2B,RGB/2026-01-29_RGB.png,0.67
2026-01-27,ThermalFalseColor,11.6,Sentinel-2B,ThermalFalseColor/2026-01-27_ThermalFalseColor.png,0.45
2026-01-27,RGB,11.6,Sentinel-2B,RGB/2026-01-27_RGB.png,0.64
2026-01-24,RGB,0.04,Sentinel-2B,RGB/2026-01-24_RGB.png,0.66
2026-01-24,ThermalFalseColor,0.04,Sentinel-2B,ThermalFalseColor/2026-01-24_ThermalFalseColor.png,0.46
2026-01-22,RGB,0.3,Sentinel-2B,RGB/2026-01-22_RGB.png,0.64
2026-01-22,ThermalFalseColor,0.3,Sentinel-2B,ThermalFalseColor/2026-01-22_ThermalFalseColor.png,0.45
2026-01-19,ThermalFalseColor,0.05,Sentinel-2B,ThermalFalseColor/2026-01-19_ThermalFalseColor.png,0.46
2026-01-19,RGB,0.05,Sentinel-2B,RGB/2026-01-19_RGB.png,0.66
2026-01-17,RGB,0.34,Sentinel-2B,RGB/2026-01-17_RGB.png,0.64
2026-01-17,ThermalFalseColor,0.34,Sentinel-2B,ThermalFalseColor/2026-01-17_ThermalFalseColor.png,0.44
2026-01-12,RGB,70.15,Sentinel-2B,RGB/2026-01-12_RGB.png,0.4
2026-01-12,ThermalFalseColor,70.15,Sentinel-2B,ThermalFalseColor/2026-01-12_ThermalFalseColor.png,0.33
