fecha,tipo,cobertura_nubosa,sensor,ruta_archivo,tamano_mb
2026-08-12,RGB,41.67,Sentinel-2A L2A,2026-08-12_RGB.png,0.25
2026-08-12,ThermalFalseColor,41.67,Sentinel-2A L2A,2026-08-12_ThermalFalseColor.png,0.15
2026-08-12,SWIR_B8A,41.67,Sentinel-2A L2A,2026-08-12_SWIR_B8A.png,0.1
2026-08-10,RGB,3.69,Sentinel-2C L2A,2026-08-10_RGB.png,0.67
2026-08-10,ThermalFalseColor,3.69,Sentinel-2C L2A,2026-08-10_ThermalFalseColor.png,0.43
2026-08-10,SWIR_B8A,3.69,Sentinel-2C L2A,2026-08-10_SWIR_B8A.png,0.26
2026-08-07,RGB,98.84,Sentinel-2C L2A,2026-08-07_RGB.png,0.1
2026-08-07,ThermalFalseColor,98.84,Sentinel-2C L2A,2026-08-07_ThermalFalseColor.png,0.12
2026-08-07,SWIR_B8A,98.84,Sentinel-2C L2A,2026-08-07_SWIR_B8A.png,0.12
2026-08-05,RGB,25.38,Sentinel-2B L2A,2026-08-05_RGB.png,0.42
2026-08-05,ThermalFalseColor,25.38,Sentinel-2B L2A,2026-08-05_ThermalFalseColor.png,0.31
2026-08-05,SWIR_B8A,25.38,Sentinel-2B L2A,2026-08-05_SWIR_B8A.png,0.2
2026-08-02,RGB,96.5,Sentinel-2B L2A,2026-08-02_RGB.png,0.28
2026-08-02,ThermalFalseColor,96.5,Sentinel-2B L2A,2026-08-02_ThermalFalseColor.png,0.23
2026-08-02,SWIR_B8A,96.5,Sentinel-2B L2A,2026-08-02_SWIR_B8A.png,0.19
2026-07-31,RGB,93.85,Sentinel-2C L2A,2026-07-31_RGB.png,0.1
2026-07-31,ThermalFalseColor,93.85,Sentinel-2C L2A,2026-07-31_ThermalFalseColor.png,0.12
2026-07-31,SWIR_B8A,93.85,Sentinel-2C L2A,2026-07-31_SWIR_B8A.png,0.12
2026-07-30,RGB,99.99,Sentinel-2A L2A,2026-07-30_RGB.png,0.07
2026-07-30,ThermalFalseColor,99.99,Sentinel-2A L2A,2026-07-30_ThermalFalseColor.png,0.12
2026-07-30,SWIR_B8A,99.99,Sentinel-2A L2A,2026-07-30_SWIR_B8A.png,0.12
2026-07-28,RGB,87.32,Sentinel-2C L2A,2026-07-28_RGB.png,0.51
2026-07-28,ThermalFalseColor,87.32,Sentinel-2C L2A,2026-07-28_ThermalFalseColor.png,0.35
2026-07-28,SWIR_B8A,87.32,Sentinel-2C L2A,2026-07-28_SWIR_B8A.png,0.2
2026-07-26,ThermalFalseColor,99.99,Sentinel-2B L2A,2026-07-26_ThermalFalseColor.png,0.11
2026-07-26,RGB,99.99,Sentinel-2B L2A,2026-07-26_RGB.png,0.14
2026-07-26,SWIR_B8A,99.99,Sentinel-2B L2A,2026-07-26_SWIR_B8A.png,0.11
2026-07-23,ThermalFalseColor,99.59,Sentinel-2A L2A,2026-07-23_ThermalFalseColor.png,0.15
2026-07-23,RGB,99.59,Sentinel-2A L2A,2026-07-23_RGB.png,0.16
2026-07-23,SWIR_B8A,99.59,Sentinel-2A L2A,2026-07-23_SWIR_B8A.png,0.15
2026-07-21,RGB,6.63,Sentinel-2C L2A,2026-07-21_RGB.png,0.6
2026-07-21,ThermalFalseColor,6.63,Sentinel-2C L2A,2026-07-21_ThermalFalseColor.png,0.46
2026-07-21,SWIR_B8A,6.63,Sentinel-2C L2A,2026-07-21_SWIR_B8A.png,0.29
2026-07-18,SWIR_B8A,34.14,Sentinel-2C L2A,2026-07-18_SWIR_B8A.png,0.23
2026-07-18,ThermalFalseColor,34.14,Sentinel-2C L2A,2026-07-18_ThermalFalseColor.png,0.4
2026-07-18,RGB,34.14,Sentinel-2C L2A,2026-07-18_RGB.png,0.59
