fecha,tipo,cobertura_nubosa,sensor,ruta_archivo,tamano_mb
2026-02-06,RGB,1.4,Sentinel-2B,RGB/2026-02-06_RGB.png,1.1
2026-02-06,ThermalFalseColor,1.4,Sentinel-2B,ThermalFalseColor/2026-02-06_ThermalFalseColor.png,1.18
2026-02-03,RGB,46.29,Sentinel-2B,RGB/2026-02-03_RGB.png,0.34
2026-02-03,ThermalFalseColor,46.29,Sentinel-2B,ThermalFalseColor/2026-02-03_ThermalFalseColor.png,0.86
2026-02-01,ThermalFalseColor,1.55,Sentinel-2B,ThermalFalseColor/2026-02-01_ThermalFalseColor.png,1.22
2026-02-01,RGB,1.55,Sentinel-2B,RGB/2026-02-01_RGB.png,1.1
2026-01-29,RGB,0.0,Sentinel-2B,RGB/2026-01-29_RGB.png,1.2
2026-01-29,ThermalFalseColor,0.0,Sentinel-2B,ThermalFalseColor/2026-01-29_ThermalFalseColor.png,1.27
2026-01-27,RGB,0.08,Sentinel-2B,RGB/2026-01-27_RGB.png,1.14
2026-01-27,ThermalFalseColor,0.08,Sentinel-2B,ThermalFalseColor/2026-01-27_ThermalFalseColor.png,1.23
2026-01-24,RGB,0.12,Sentinel-2B,RGB/2026-01-24_RGB.png,1.19
2026-01-24,ThermalFalseColor,0.12,Sentinel-2B,ThermalFalseColor/2026-01-24_ThermalFalseColor.png,1.27
2026-01-22,ThermalFalseColor,0.0,Sentinel-2B,ThermalFalseColor/2026-01-22_ThermalFalseColor.png,1.24
2026-01-22,RGB,0.0,Sentinel-2B,RGB/2026-01-22_RGB.png,1.14
2026-01-19,ThermalFalseColor,0.05,Sentinel-2B,ThermalFalseColor/2026-01-19_ThermalFalseColor.png,1.26
2026-01-19,RGB,0.05,Sentinel-2B,RGB/2026-01-19_RGB.png,1.2
2026-01-17,RGB,0.18,Sentinel-2B,RGB/2026-01-17_RGB.png,1.14
2026-01-17,ThermalFalseColor,0.18,Sentinel-2B,ThermalFalseColor/2026-01-17_ThermalFalseColor.png,1.23
2026-01-12,RGB,18.3,Sentinel-2B,RGB/2026-01-12_RGB.png,0.87
2026-01-12,ThermalFalseColor,18.3,Sentinel-2B,ThermalFalseColor/2026-01-12_ThermalFalseColor.png,0.97
2026-01-11,RGB,0.0,Sentinel-2B,RGB/2026-01-11_RGB.png,1.19
2026-01-11,ThermalFalseColor,0.0,Sentinel-2B,ThermalFalseColor/2026-01-11_ThermalFalseColor.png,1.25
2026-01-09,RGB,2.28,Sentinel-2B,RGB/2026-01-09_RGB.png,1.2
2026-01-09,ThermalFalseColor,2.28,Sentinel-2B,ThermalFalseColor/2026-01-09_ThermalFalseColor.png,1.26
2026-01-07,ThermalFalseColor,0.06,Sentinel-2B,ThermalFalseColor/2026-01-07_ThermalFalseColor.png,1.22
2026-01-07,RGB,0.06,Sentinel-2B,RGB/2026-01-07_RGB.png,1.13
2026-01-04,ThermalFalseColor,0.03,Sentinel-2B,ThermalFalseColor/2026-01-04_ThermalFalseColor.png,1.26
2026-01-04,RGB,0.03,Sentinel-2B,RGB/2026-01-04_RGB.png,1.2
2026-01-02,ThermalFalseColor,0.0,Sentinel-2B,ThermalFalseColor/2026-01-02_ThermalFalseColor.png,1.24
2026-01-02,RGB,0.0,Sentinel-2B,RGB/2026-01-02_RGB.png,1.16
