fecha,tipo,cobertura_nubosa,sensor,ruta_archivo,tamano_mb
2026-08-07,RGB,46.51,Sentinel-2C L2A,2026-08-07_RGB.png,0.0
2026-08-07,ThermalFalseColor,46.51,Sentinel-2C L2A,2026-08-07_ThermalFalseColor.png,0.01
2026-08-07,SWIR_B8A,46.51,Sentinel-2C L2A,2026-08-07_SWIR_B8A.png,0.01
2026-08-05,RGB,99.9,Sentinel-2B L2A,2026-08-05_RGB.png,0.0
2026-08-05,ThermalFalseColor,99.9,Sentinel-2B L2A,2026-08-05_ThermalFalseColor.png,0.01
2026-08-05,SWIR_B8A,99.9,Sentinel-2B L2A,2026-08-05_SWIR_B8A.png,0.01
2026-08-02,RGB,67.61,Sentinel-2B L2A,2026-08-02_RGB.png,0.0
2026-08-02,ThermalFalseColor,67.61,Sentinel-2B L2A,2026-08-02_ThermalFalseColor.png,0.01
2026-08-02,SWIR_B8A,67.61,Sentinel-2B L2A,2026-08-02_SWIR_B8A.png,0.01
2026-07-31,RGB,95.53,Sentinel-2C L2A,2026-07-31_RGB.png,0.0
2026-07-31,ThermalFalseColor,95.53,Sentinel-2C L2A,2026-07-31_ThermalFalseColor.png,0.01
2026-07-31,SWIR_B8A,95.53,Sentinel-2C L2A,2026-07-31_SWIR_B8A.png,0.01
2026-07-30,RGB,93.58,Sentinel-2A L2A,2026-07-30_RGB.png,0.0
2026-07-30,ThermalFalseColor,93.58,Sentinel-2A L2A,2026-07-30_ThermalFalseColor.png,0.01
2026-07-30,SWIR_B8A,93.58,Sentinel-2A L2A,2026-07-30_SWIR_B8A.png,0.01
2026-07-28,RGB,70.97,Sentinel-2C L2A,2026-07-28_RGB.png,0.0
2026-07-28,ThermalFalseColor,70.97,Sentinel-2C L2A,2026-07-28_ThermalFalseColor.png,0.01
2026-07-28,SWIR_B8A,70.97,Sentinel-2C L2A,2026-07-28_SWIR_B8A.png,0.01
2026-07-26,RGB,99.57,Sentinel-2B L2A,2026-07-26_RGB.png,0.0
2026-07-26,ThermalFalseColor,99.57,Sentinel-2B L2A,2026-07-26_ThermalFalseColor.png,0.01
2026-07-26,SWIR_B8A,99.57,Sentinel-2B L2A,2026-07-26_SWIR_B8A.png,0.01
2026-07-23,RGB,97.26,Sentinel-2B L2A,2026-07-23_RGB.png,0.0
2026-07-23,ThermalFalseColor,97.26,Sentinel-2B L2A,2026-07-23_ThermalFalseColor.png,0.01
2026-07-23,SWIR_B8A,97.26,Sentinel-2B L2A,2026-07-23_SWIR_B8A.png,0.01
2026-07-21,ThermalFalseColor,99.98,Sentinel-2C L2A,2026-07-21_ThermalFalseColor.png,0.01
2026-07-21,SWIR_B8A,99.98,Sentinel-2C L2A,2026-07-21_SWIR_B8A.png,0.01
2026-07-21,RGB,99.98,Sentinel-2C L2A,2026-07-21_RGB.png,0.01
2026-07-18,ThermalFalseColor,68.26,Sentinel-2C L2A,2026-07-18_ThermalFalseColor.png,0.01
2026-07-18,RGB,68.26,Sentinel-2C L2A,2026-07-18_RGB.png,0.0
2026-07-18,SWIR_B8A,68.26,Sentinel-2C L2A,2026-07-18_SWIR_B8A.png,0.01
2026-07-16,ThermalFalseColor,70.35,Sentinel-2B L2A,2026-07-16_ThermalFalseColor.png,0.02
2026-07-16,SWIR_B8A,70.35,Sentinel-2B L2A,2026-07-16_SWIR_B8A.png,0.01
2026-07-16,RGB,70.35,Sentinel-2B L2A,2026-07-16_RGB.png,0.01
2026-07-13,ThermalFalseColor,97.95,Sentinel-2B L2A,2026-07-13_ThermalFalseColor.png,0.01
2026-07-13,SWIR_B8A,97.95,Sentinel-2B L2A,2026-07-13_SWIR_B8A.png,0.01
2026-07-13,RGB,97.95,Sentinel-2B L2A,2026-07-13_RGB.png,0.01
2026-07-11,SWIR_B8A,1.01,Sentinel-2C L2A,2026-07-11_SWIR_B8A.png,0.02
2026-07-11,RGB,1.01,Sentinel-2C L2A,2026-07-11_RGB.png,0.02
2026-07-11,ThermalFalseColor,1.01,Sentinel-2C L2A,2026-07-11_ThermalFalseColor.png,0.02
2026-07-08,ThermalFalseColor,99.81,Sentinel-2C L2A,2026-07-08_ThermalFalseColor.png,0.01
2026-07-08,RGB,99.81,Sentinel-2C L2A,2026-07-08_RGB.png,0.0
2026-07-08,SWIR_B8A,99.81,Sentinel-2C L2A,2026-07-08_SWIR_B8A.png,0.01
2026-07-06,SWIR_B8A,76.33,Sentinel-2B L2A,2026-07-06_SWIR_B8A.png,0.02
2026-07-06,RGB,76.33,Sentinel-2B L2A,2026-07-06_RGB.png,0.02
2026-07-06,ThermalFalseColor,76.33,Sentinel-2B L2A,2026-07-06_ThermalFalseColor.png,0.02
