fecha,tipo,cobertura_nubosa,sensor,ruta_archivo,tamano_mb
2026-02-13,RGB,39.16,Sentinel-2B,RGB/2026-02-13_RGB.png,0.49
2026-02-13,ThermalFalseColor,39.16,Sentinel-2B,ThermalFalseColor/2026-02-13_ThermalFalseColor.png,0.35
2026-02-11,ThermalFalseColor,79.91,Sentinel-2B,ThermalFalseColor/2026-02-11_ThermalFalseColor.png,0.1
2026-02-11,RGB,79.91,Sentinel-2B,RGB/2026-02-11_RGB.png,0.0
2026-02-08,ThermalFalseColor,85.33,Sentinel-2B,ThermalFalseColor/2026-02-08_ThermalFalseColor.png,0.41
2026-02-08,RGB,85.33,Sentinel-2B,RGB/2026-02-08_RGB.png,0.59
2026-02-06,RGB,93.14,Sentinel-2B,RGB/2026-02-06_RGB.png,0.0
2026-02-06,ThermalFalseColor,93.14,Sentinel-2B,ThermalFalseColor/2026-02-06_ThermalFalseColor.png,0.05
2026-02-03,RGB,99.9,Sentinel-2B,RGB/2026-02-03_RGB.png,0.0
2026-02-03,ThermalFalseColor,99.9,Sentinel-2B,ThermalFalseColor/2026-02-03_ThermalFalseColor.png,0.07
2026-02-01,RGB,5.12,Sentinel-2B,RGB/2026-02-01_RGB.png,0.55
2026-02-01,ThermalFalseColor,5.12,Sentinel-2B,ThermalFalseColor/2026-02-01_ThermalFalseColor.png,0.39
2026-01-29,RGB,18.13,Sentinel-2B,RGB/2026-01-29_RGB.png,0.59
2026-01-29,ThermalFalseColor,18.13,Sentinel-2B,ThermalFalseColor/2026-01-29_ThermalFalseColor.png,0.4
2026-01-27,RGB,99.99,Sentinel-2B,RGB/2026-01-27_RGB.png,0.0
2026-01-27,ThermalFalseColor,99.99,Sentinel-2B,ThermalFalseColor/2026-01-27_ThermalFalseColor.png,0.11
2026-01-24,RGB,91.38,Sentinel-2B,RGB/2026-01-24_RGB.png,0.26
2026-01-24,ThermalFalseColor,91.38,Sentinel-2B,ThermalFalseColor/2026-01-24_ThermalFalseColor.png,0.23
2026-01-22,RGB,86.77,Sentinel-2B,RGB/2026-01-22_RGB.png,0.03
2026-01-22,ThermalFalseColor,86.77,Sentinel-2B,ThermalFalseColor/2026-01-22_ThermalFalseColor.png,0.12
2026-01-19,ThermalFalseColor,0.19,Sentinel-2B,ThermalFalseColor/2026-01-19_ThermalFalseColor.png,0.4
2026-01-19,RGB,0.19,Sentinel-2B,RGB/2026-01-19_RGB.png,0.58
2026-01-17,RGB,39.23,Sentinel-2B,RGB/2026-01-17_RGB.png,0.51
2026-01-17,ThermalFalseColor,39.23,Sentinel-2B,ThermalFalseColor/2026-01-17_ThermalFalseColor.png,0.38
2026-01-12,RGB,78.72,Sentinel-2B,RGB/2026-01-12_RGB.png,0.46
2026-01-12,ThermalFalseColor,78.72,Sentinel-2B,ThermalFalseColor/2026-01-12_ThermalFalseColor.png,0.36
2026-01-11,RGB,99.53,Sentinel-2B,RGB/2026-01-11_RGB.png,0.0
2026-01-11,ThermalFalseColor,99.53,Sentinel-2B,ThermalFalseColor/2026-01-11_ThermalFalseColor.png,0.13
2026-01-09,ThermalFalseColor,25.14,Sentinel-2B,ThermalFalseColor/2026-01-09_ThermalFalseColor.png,0.4
2026-01-09,RGB,25.14,Sentinel-2B,RGB/2026-01-09_RGB.png,0.58
2026-01-07,RGB,1.33,Sentinel-2B,RGB/2026-01-07_RGB.png,0.56
2026-01-07,ThermalFalseColor,1.33,Sentinel-2B,ThermalFalseColor/2026-01-07_ThermalFalseColor.png,0.39
2026-01-04,ThermalFalseColor,0.0,Sentinel-2B,ThermalFalseColor/2026-01-04_ThermalFalseColor.png,0.4
2026-01-04,RGB,0.0,Sentinel-2B,RGB/2026-01-04_RGB.png,0.57
2026-01-02,RGB,0.96,Sentinel-2B,RGB/2026-01-02_RGB.png,0.53
2026-01-02,ThermalFalseColor,0.96,Sentinel-2B,ThermalFalseColor/2026-01-02_ThermalFalseColor.png,0.38
