fecha,tipo,cobertura_nubosa,sensor,ruta_archivo,tamano_mb
2026-03-26,RGB,35.31,Sentinel-2C L2A,2026-03-26_RGB.png,0.49
2026-03-26,ThermalFalseColor,35.31,Sentinel-2C L2A,2026-03-26_ThermalFalseColor.png,0.46
2026-03-21,RGB,0.36,Sentinel-2B L2A,2026-03-21_RGB.png,0.88
2026-03-21,ThermalFalseColor,0.36,Sentinel-2B L2A,2026-03-21_ThermalFalseColor.png,0.64
2026-03-18,RGB,16.89,Sentinel-2A L2A,2026-03-18_RGB.png,0.65
2026-03-18,ThermalFalseColor,16.89,Sentinel-2A L2A,2026-03-18_ThermalFalseColor.png,0.43
2026-03-16,RGB,6.1,Sentinel-2C L2A,2026-03-16_RGB.png,0.69
2026-03-16,ThermalFalseColor,6.1,Sentinel-2C L2A,2026-03-16_ThermalFalseColor.png,0.47
2026-03-11,RGB,6.22,Sentinel-2B L2A,2026-03-11_RGB.png,0.7
2026-03-11,ThermalFalseColor,6.22,Sentinel-2B L2A,2026-03-11_ThermalFalseColor.png,0.53
2026-03-08,RGB,1.1,Sentinel-2A L2A,2026-03-08_RGB.png,0.9
2026-03-08,ThermalFalseColor,1.1,Sentinel-2A L2A,2026-03-08_ThermalFalseColor.png,0.65
2026-03-06,ThermalFalseColor,7.93,Sentinel-2C L2A,2026-03-06_ThermalFalseColor.png,0.39
2026-03-06,RGB,7.93,Sentinel-2C L2A,2026-03-06_RGB.png,0.46
2026-03-01,RGB,4.29,Sentinel-2B L2A,2026-03-01_RGB.png,0.84
2026-03-01,ThermalFalseColor,4.29,Sentinel-2B L2A,2026-03-01_ThermalFalseColor.png,0.62
2026-02-19,RGB,10.36,Sentinel-2B L2A,2026-02-19_RGB.png,0.76
2026-02-19,ThermalFalseColor,10.36,Sentinel-2B L2A,2026-02-19_ThermalFalseColor.png,0.59
2026-02-14,RGB,79.24,Sentinel-2C L2A,2026-02-14_RGB.png,0.61
2026-02-14,ThermalFalseColor,79.24,Sentinel-2C L2A,2026-02-14_ThermalFalseColor.png,0.53
2026-02-09,RGB,31.04,Sentinel-2B L2A,2026-02-09_RGB.png,0.65
2026-02-09,ThermalFalseColor,31.04,Sentinel-2B L2A,2026-02-09_ThermalFalseColor.png,0.51
2026-02-04,RGB,18.81,Sentinel-2C L2A,2026-02-04_RGB.png,0.69
2026-02-04,ThermalFalseColor,18.81,Sentinel-2C L2A,2026-02-04_ThermalFalseColor.png,0.55
2026-01-30,RGB,40.97,Sentinel-2B L2A,2026-01-30_RGB.png,0.34
2026-01-30,ThermalFalseColor,40.97,Sentinel-2B L2A,2026-01-30_ThermalFalseColor.png,0.38
