fecha,tipo,cobertura_nubosa,sensor,ruta_archivo,tamano_mb
2026-03-30,RGB,64.43,Sentinel-2C L2A,2026-03-30_RGB.png,0.18
2026-03-30,ThermalFalseColor,64.43,Sentinel-2C L2A,2026-03-30_ThermalFalseColor.png,0.49
2026-03-25,RGB,99.75,Sentinel-2B L2A,2026-03-25_RGB.png,0.01
2026-03-25,ThermalFalseColor,99.75,Sentinel-2B L2A,2026-03-25_ThermalFalseColor.png,0.63
2026-03-22,RGB,21.29,Sentinel-2A L2A,2026-03-22_RGB.png,0.41
2026-03-22,ThermalFalseColor,21.29,Sentinel-2A L2A,2026-03-22_ThermalFalseColor.png,0.79
2026-03-20,RGB,82.94,Sentinel-2C L2A,2026-03-20_RGB.png,0.22
2026-03-20,ThermalFalseColor,82.94,Sentinel-2C L2A,2026-03-20_ThermalFalseColor.png,0.66
2026-03-15,RGB,97.49,Sentinel-2B L2A,2026-03-15_RGB.png,0.01
2026-03-15,ThermalFalseColor,97.49,Sentinel-2B L2A,2026-03-15_ThermalFalseColor.png,0.55
2026-03-12,RGB,71.71,Sentinel-2A L2A,2026-03-12_RGB.png,0.19
2026-03-12,ThermalFalseColor,71.71,Sentinel-2A L2A,2026-03-12_ThermalFalseColor.png,0.59
2026-03-10,RGB,85.53,Sentinel-2C L2A,2026-03-10_RGB.png,0.09
2026-03-10,ThermalFalseColor,85.53,Sentinel-2C L2A,2026-03-10_ThermalFalseColor.png,0.47
2026-03-05,ThermalFalseColor,1.69,Sentinel-2B L2A,2026-03-05_ThermalFalseColor.png,0.79
2026-03-05,RGB,1.69,Sentinel-2B L2A,2026-03-05_RGB.png,0.6
2026-02-28,RGB,99.99,Sentinel-2C L2A,2026-02-28_RGB.png,0.0
2026-02-28,ThermalFalseColor,99.99,Sentinel-2C L2A,2026-02-28_ThermalFalseColor.png,0.39
2026-02-23,RGB,97.35,Sentinel-2B L2A,2026-02-23_RGB.png,0.01
2026-02-23,ThermalFalseColor,97.35,Sentinel-2B L2A,2026-02-23_ThermalFalseColor.png,0.34
2026-02-18,RGB,99.93,Sentinel-2C L2A,2026-02-18_RGB.png,0.01
2026-02-18,ThermalFalseColor,99.93,Sentinel-2C L2A,2026-02-18_ThermalFalseColor.png,0.31
2026-02-13,RGB,18.0,Sentinel-2B L2A,2026-02-13_RGB.png,0.47
2026-02-13,ThermalFalseColor,18.0,Sentinel-2B L2A,2026-02-13_ThermalFalseColor.png,0.7
2026-02-08,RGB,98.75,Sentinel-2C L2A,2026-02-08_RGB.png,0.32
2026-02-08,ThermalFalseColor,98.75,Sentinel-2C L2A,2026-02-08_ThermalFalseColor.png,0.54
2026-02-03,RGB,96.88,Sentinel-2B L2A,2026-02-03_RGB.png,0.06
2026-02-03,ThermalFalseColor,96.88,Sentinel-2B L2A,2026-02-03_ThermalFalseColor.png,0.56
