fecha,tipo,cobertura_nubosa,sensor,ruta_archivo,tamano_mb
2026-07-18,SWIR_B8A,23.69,Sentinel-2C L2A,2026-07-18_SWIR_B8A.png,0.34
2026-07-18,ThermalFalseColor,23.69,Sentinel-2C L2A,2026-07-18_ThermalFalseColor.png,0.4
2026-07-18,RGB,23.69,Sentinel-2C L2A,2026-07-18_RGB.png,0.39
2026-07-13,SWIR_B8A,99.93,Sentinel-2B L2A,2026-07-13_SWIR_B8A.png,0.2
2026-07-13,ThermalFalseColor,99.93,Sentinel-2B L2A,2026-07-13_ThermalFalseColor.png,0.2
2026-07-13,RGB,99.93,Sentinel-2B L2A,2026-07-13_RGB.png,0.07
2026-07-08,SWIR_B8A,39.91,Sentinel-2C L2A,2026-07-08_SWIR_B8A.png,0.35
2026-07-08,ThermalFalseColor,39.91,Sentinel-2C L2A,2026-07-08_ThermalFalseColor.png,0.5
2026-07-08,RGB,39.91,Sentinel-2C L2A,2026-07-08_RGB.png,0.72
2026-07-03,ThermalFalseColor,5.98,Sentinel-2B L2A,2026-07-03_ThermalFalseColor.png,0.5
2026-07-03,SWIR_B8A,5.98,Sentinel-2B L2A,2026-07-03_SWIR_B8A.png,0.33
2026-07-03,RGB,5.98,Sentinel-2B L2A,2026-07-03_RGB.png,0.79
2026-06-30,RGB,28.06,Sentinel-2A L2A,2026-06-30_RGB.png,0.46
2026-06-30,ThermalFalseColor,28.06,Sentinel-2A L2A,2026-06-30_ThermalFalseColor.png,0.4
2026-06-30,SWIR_B8A,28.06,Sentinel-2A L2A,2026-06-30_SWIR_B8A.png,0.36
2026-06-28,RGB,93.94,Sentinel-2C L2A,2026-06-28_RGB.png,0.26
2026-06-28,SWIR_B8A,93.94,Sentinel-2C L2A,2026-06-28_SWIR_B8A.png,0.31
2026-06-28,ThermalFalseColor,93.94,Sentinel-2C L2A,2026-06-28_ThermalFalseColor.png,0.32
2026-06-23,RGB,99.17,Sentinel-2B L2A,2026-06-23_RGB.png,0.25
2026-06-23,ThermalFalseColor,99.17,Sentinel-2B L2A,2026-06-23_ThermalFalseColor.png,0.18
2026-06-23,SWIR_B8A,99.17,Sentinel-2B L2A,2026-06-23_SWIR_B8A.png,0.18
2026-06-18,ThermalFalseColor,82.19,Sentinel-2C L2A,2026-06-18_ThermalFalseColor.png,0.4
2026-06-18,SWIR_B8A,82.19,Sentinel-2C L2A,2026-06-18_SWIR_B8A.png,0.31
2026-06-18,RGB,82.19,Sentinel-2C L2A,2026-06-18_RGB.png,0.41
2026-06-13,ThermalFalseColor,11.41,Sentinel-2B L2A,2026-06-13_ThermalFalseColor.png,0.42
2026-06-13,RGB,11.41,Sentinel-2B L2A,2026-06-13_RGB.png,0.18
2026-06-13,SWIR_B8A,11.41,Sentinel-2B L2A,2026-06-13_SWIR_B8A.png,0.36
2026-06-10,ThermalFalseColor,92.12,Sentinel-2A L2A,2026-06-10_ThermalFalseColor.png,0.4
2026-06-10,RGB,92.12,Sentinel-2A L2A,2026-06-10_RGB.png,0.28
2026-06-10,SWIR_B8A,92.12,Sentinel-2A L2A,2026-06-10_SWIR_B8A.png,0.31
2026-06-08,SWIR_B8A,96.54,Sentinel-2C L2A,2026-06-08_SWIR_B8A.png,0.34
2026-06-08,RGB,96.54,Sentinel-2C L2A,2026-06-08_RGB.png,0.58
2026-06-08,ThermalFalseColor,96.54,Sentinel-2C L2A,2026-06-08_ThermalFalseColor.png,0.53
2026-06-03,RGB,88.92,Sentinel-2B L2A,2026-06-03_RGB.png,0.5
2026-06-03,ThermalFalseColor,88.92,Sentinel-2B L2A,2026-06-03_ThermalFalseColor.png,0.56
2026-06-03,SWIR_B8A,88.92,Sentinel-2B L2A,2026-06-03_SWIR_B8A.png,0.39
2026-05-29,SWIR_B8A,93.35,Sentinel-2C L2A,2026-05-29_SWIR_B8A.png,0.27
2026-05-29,RGB,93.35,Sentinel-2C L2A,2026-05-29_RGB.png,0.07
2026-05-29,ThermalFalseColor,93.35,Sentinel-2C L2A,2026-05-29_ThermalFalseColor.png,0.29
2026-05-24,ThermalFalseColor,92.13,Sentinel-2B L2A,2026-05-24_ThermalFalseColor.png,0.19
2026-05-24,SWIR_B8A,92.13,Sentinel-2B L2A,2026-05-24_SWIR_B8A.png,0.19
2026-05-24,RGB,92.13,Sentinel-2B L2A,2026-05-24_RGB.png,0.0
2026-05-21,RGB,0.01,Sentinel-2A L2A,2026-05-21_RGB.png,0.88
2026-05-21,ThermalFalseColor,0.01,Sentinel-2A L2A,2026-05-21_ThermalFalseColor.png,0.65
2026-05-19,RGB,7.84,Sentinel-2C L2A,2026-05-19_RGB.png,0.75
2026-05-19,ThermalFalseColor,7.84,Sentinel-2C L2A,2026-05-19_ThermalFalseColor.png,0.6
2026-05-14,ThermalFalseColor,79.75,Sentinel-2B L2A,2026-05-14_ThermalFalseColor.png,0.61
2026-05-14,RGB,79.75,Sentinel-2B L2A,2026-05-14_RGB.png,0.63
2026-05-09,RGB,76.97,Sentinel-2C L2A,2026-05-09_RGB.png,0.22
2026-05-09,ThermalFalseColor,76.97,Sentinel-2C L2A,2026-05-09_ThermalFalseColor.png,0.39
2026-05-04,ThermalFalseColor,93.54,Sentinel-2B L2A,2026-05-04_ThermalFalseColor.png,0.26
2026-05-04,RGB,93.54,Sentinel-2B L2A,2026-05-04_RGB.png,0.01
2026-05-01,ThermalFalseColor,66.06,Sentinel-2A L2A,2026-05-01_ThermalFalseColor.png,0.34
2026-05-01,RGB,66.06,Sentinel-2A L2A,2026-05-01_RGB.png,0.09
2026-04-29,RGB,99.11,Sentinel-2C L2A,2026-04-29_RGB.png,0.0
2026-04-29,ThermalFalseColor,99.11,Sentinel-2C L2A,2026-04-29_ThermalFalseColor.png,0.26
2026-04-24,RGB,76.77,Sentinel-2B L2A,2026-04-24_RGB.png,0.14
2026-04-24,ThermalFalseColor,76.77,Sentinel-2B L2A,2026-04-24_ThermalFalseColor.png,0.29
2026-04-19,ThermalFalseColor,96.67,Sentinel-2C L2A,2026-04-19_ThermalFalseColor.png,0.16
2026-04-19,RGB,96.67,Sentinel-2C L2A,2026-04-19_RGB.png,0.0
2026-04-14,ThermalFalseColor,94.38,Sentinel-2B L2A,2026-04-14_ThermalFalseColor.png,0.19
2026-04-14,RGB,94.38,Sentinel-2B L2A,2026-04-14_RGB.png,0.04
2026-04-11,ThermalFalseColor,99.23,Sentinel-2A L2A,2026-04-11_ThermalFalseColor.png,0.16
2026-04-11,RGB,99.23,Sentinel-2A L2A,2026-04-11_RGB.png,0.0
2026-04-09,RGB,98.64,Sentinel-2C L2A,2026-04-09_RGB.png,0.3
2026-04-09,ThermalFalseColor,98.64,Sentinel-2C L2A,2026-04-09_ThermalFalseColor.png,0.41
2026-04-04,RGB,0.01,Sentinel-2B L2A,2026-04-04_RGB.png,0.99
2026-04-04,ThermalFalseColor,0.01,Sentinel-2B L2A,2026-04-04_ThermalFalseColor.png,0.74
2026-03-30,ThermalFalseColor,64.43,Sentinel-2C L2A,2026-03-30_ThermalFalseColor.png,0.41
2026-03-30,RGB,64.43,Sentinel-2C L2A,2026-03-30_RGB.png,0.29
2026-03-25,RGB,99.75,Sentinel-2B L2A,2026-03-25_RGB.png,0.0
2026-03-25,ThermalFalseColor,99.75,Sentinel-2B L2A,2026-03-25_ThermalFalseColor.png,0.28
2026-03-22,ThermalFalseColor,21.29,Sentinel-2A L2A,2026-03-22_ThermalFalseColor.png,0.49
2026-03-22,RGB,21.29,Sentinel-2A L2A,2026-03-22_RGB.png,0.42
2026-03-20,RGB,82.94,Sentinel-2C L2A,2026-03-20_RGB.png,0.21
2026-03-20,ThermalFalseColor,82.94,Sentinel-2C L2A,2026-03-20_ThermalFalseColor.png,0.38
2026-03-15,RGB,97.49,Sentinel-2B L2A,2026-03-15_RGB.png,0.0
2026-03-15,ThermalFalseColor,97.49,Sentinel-2B L2A,2026-03-15_ThermalFalseColor.png,0.24
2026-03-12,ThermalFalseColor,71.71,Sentinel-2A L2A,2026-03-12_ThermalFalseColor.png,0.39
2026-03-12,RGB,71.71,Sentinel-2A L2A,2026-03-12_RGB.png,0.28
