fecha,tipo,cobertura_nubosa,sensor,ruta_archivo,tamano_mb
2026-03-28,RGB,29.69,Sentinel-2B L2A,2026-03-28_RGB.png,0.14
2026-03-28,ThermalFalseColor,29.69,Sentinel-2B L2A,2026-03-28_ThermalFalseColor.png,0.09
2026-03-25,RGB,3.5,Sentinel-2A L2A,2026-03-25_RGB.png,0.2
2026-03-25,ThermalFalseColor,3.5,Sentinel-2A L2A,2026-03-25_ThermalFalseColor.png,0.13
2026-03-18,RGB,4.46,Sentinel-2B L2A,2026-03-18_RGB.png,0.19
2026-03-18,ThermalFalseColor,4.46,Sentinel-2B L2A,2026-03-18_ThermalFalseColor.png,0.12
2026-03-13,RGB,0.68,Sentinel-2C L2A,2026-03-13_RGB.png,0.2
2026-03-13,ThermalFalseColor,0.68,Sentinel-2C L2A,2026-03-13_ThermalFalseColor.png,0.13
2026-03-08,RGB,0.25,Sentinel-2B L2A,2026-03-08_RGB.png,0.2
2026-03-08,ThermalFalseColor,0.25,Sentinel-2B L2A,2026-03-08_ThermalFalseColor.png,0.13
2026-03-03,RGB,0.14,Sentinel-2C L2A,2026-03-03_RGB.png,0.2
2026-03-03,ThermalFalseColor,0.14,Sentinel-2C L2A,2026-03-03_ThermalFalseColor.png,0.13
2026-02-26,ThermalFalseColor,0.27,Sentinel-2B L2A,2026-02-26_ThermalFalseColor.png,0.13
2026-02-26,RGB,0.27,Sentinel-2B L2A,2026-02-26_RGB.png,0.19
2026-02-21,RGB,9.58,Sentinel-2C L2A,2026-02-21_RGB.png,0.19
2026-02-21,ThermalFalseColor,9.58,Sentinel-2C L2A,2026-02-21_ThermalFalseColor.png,0.11
2026-02-16,RGB,64.64,Sentinel-2B L2A,2026-02-16_RGB.png,0.1
2026-02-16,ThermalFalseColor,64.64,Sentinel-2B L2A,2026-02-16_ThermalFalseColor.png,0.07
2026-02-11,RGB,2.27,Sentinel-2C L2A,2026-02-11_RGB.png,0.2
2026-02-11,ThermalFalseColor,2.27,Sentinel-2C L2A,2026-02-11_ThermalFalseColor.png,0.13
2026-02-06,RGB,7.32,Sentinel-2B L2A,2026-02-06_RGB.png,0.18
2026-02-06,ThermalFalseColor,7.32,Sentinel-2B L2A,2026-02-06_ThermalFalseColor.png,0.11
2026-02-01,RGB,1.29,Sentinel-2C L2A,2026-02-01_RGB.png,0.2
2026-02-01,ThermalFalseColor,1.29,Sentinel-2C L2A,2026-02-01_ThermalFalseColor.png,0.13
