fecha,tipo,cobertura_nubosa,sensor,ruta_archivo,tamano_mb
2026-08-20,RGB,2.58,Sentinel-2C L2A,2026-08-20_RGB.png,0.04
2026-08-20,ThermalFalseColor,2.58,Sentinel-2C L2A,2026-08-20_ThermalFalseColor.png,0.03
2026-08-20,SWIR_B8A,2.58,Sentinel-2C L2A,2026-08-20_SWIR_B8A.png,0.01
2026-08-18,RGB,0.51,Sentinel-2B L2A,2026-08-18_RGB.png,0.04
2026-08-18,ThermalFalseColor,0.51,Sentinel-2B L2A,2026-08-18_ThermalFalseColor.png,0.03
2026-08-18,SWIR_B8A,0.51,Sentinel-2B L2A,2026-08-18_SWIR_B8A.png,0.01
2026-08-15,RGB,1.76,Sentinel-2B L2A,2026-08-15_RGB.png,0.04
2026-08-15,ThermalFalseColor,1.76,Sentinel-2B L2A,2026-08-15_ThermalFalseColor.png,0.03
2026-08-15,SWIR_B8A,1.76,Sentinel-2B L2A,2026-08-15_SWIR_B8A.png,0.01
2026-08-13,RGB,11.24,Sentinel-2C L2A,2026-08-13_RGB.png,0.05
2026-08-13,ThermalFalseColor,11.24,Sentinel-2C L2A,2026-08-13_ThermalFalseColor.png,0.03
2026-08-13,SWIR_B8A,11.24,Sentinel-2C L2A,2026-08-13_SWIR_B8A.png,0.01
2026-08-12,RGB,54.11,Sentinel-2A L2A,2026-08-12_RGB.png,0.01
2026-08-12,ThermalFalseColor,54.11,Sentinel-2A L2A,2026-08-12_ThermalFalseColor.png,0.01
2026-08-12,SWIR_B8A,54.11,Sentinel-2A L2A,2026-08-12_SWIR_B8A.png,0.01
2026-08-10,RGB,96.01,Sentinel-2C L2A,2026-08-10_RGB.png,0.02
2026-08-10,ThermalFalseColor,96.01,Sentinel-2C L2A,2026-08-10_ThermalFalseColor.png,0.01
2026-08-10,SWIR_B8A,96.01,Sentinel-2C L2A,2026-08-10_SWIR_B8A.png,0.01
2026-08-08,RGB,1.56,Sentinel-2B L2A,2026-08-08_RGB.png,0.04
2026-08-08,ThermalFalseColor,1.56,Sentinel-2B L2A,2026-08-08_ThermalFalseColor.png,0.03
2026-08-08,SWIR_B8A,1.56,Sentinel-2B L2A,2026-08-08_SWIR_B8A.png,0.01
2026-08-05,ThermalFalseColor,15.56,Sentinel-2B L2A,2026-08-05_ThermalFalseColor.png,0.03
2026-08-05,RGB,15.56,Sentinel-2B L2A,2026-08-05_RGB.png,0.04
2026-08-05,SWIR_B8A,15.56,Sentinel-2B L2A,2026-08-05_SWIR_B8A.png,0.01
2026-08-03,RGB,0.55,Sentinel-2C L2A,2026-08-03_RGB.png,0.04
2026-08-03,ThermalFalseColor,0.55,Sentinel-2C L2A,2026-08-03_ThermalFalseColor.png,0.03
2026-08-03,SWIR_B8A,0.55,Sentinel-2C L2A,2026-08-03_SWIR_B8A.png,0.01
2026-07-31,RGB,8.05,Sentinel-2C L2A,2026-07-31_RGB.png,0.04
2026-07-31,ThermalFalseColor,8.05,Sentinel-2C L2A,2026-07-31_ThermalFalseColor.png,0.03
2026-07-31,SWIR_B8A,8.05,Sentinel-2C L2A,2026-07-31_SWIR_B8A.png,0.01
2026-07-29,ThermalFalseColor,0.01,Sentinel-2B L2A,2026-07-29_ThermalFalseColor.png,0.03
2026-07-29,SWIR_B8A,0.01,Sentinel-2B L2A,2026-07-29_SWIR_B8A.png,0.01
2026-07-29,RGB,0.01,Sentinel-2B L2A,2026-07-29_RGB.png,0.04
2026-07-26,SWIR_B8A,9.12,Sentinel-2B L2A,2026-07-26_SWIR_B8A.png,0.01
2026-07-26,RGB,9.12,Sentinel-2B L2A,2026-07-26_RGB.png,0.04
2026-07-26,ThermalFalseColor,9.12,Sentinel-2B L2A,2026-07-26_ThermalFalseColor.png,0.03
2026-07-24,ThermalFalseColor,0.01,Sentinel-2C L2A,2026-07-24_ThermalFalseColor.png,0.03
2026-07-24,SWIR_B8A,0.01,Sentinel-2C L2A,2026-07-24_SWIR_B8A.png,0.01
2026-07-24,RGB,0.01,Sentinel-2C L2A,2026-07-24_RGB.png,0.04
2026-07-23,SWIR_B8A,2.35,Sentinel-2A L2A,2026-07-23_SWIR_B8A.png,0.01
2026-07-23,RGB,2.35,Sentinel-2A L2A,2026-07-23_RGB.png,0.04
2026-07-23,ThermalFalseColor,2.35,Sentinel-2A L2A,2026-07-23_ThermalFalseColor.png,0.03
2026-07-21,SWIR_B8A,1.77,Sentinel-2C L2A,2026-07-21_SWIR_B8A.png,0.01
2026-07-21,ThermalFalseColor,1.77,Sentinel-2C L2A,2026-07-21_ThermalFalseColor.png,0.03
2026-07-21,RGB,1.77,Sentinel-2C L2A,2026-07-21_RGB.png,0.04
2026-07-19,RGB,0.0,Sentinel-2B L2A,2026-07-19_RGB.png,0.04
2026-07-19,SWIR_B8A,0.0,Sentinel-2B L2A,2026-07-19_SWIR_B8A.png,0.01
2026-07-19,ThermalFalseColor,0.0,Sentinel-2B L2A,2026-07-19_ThermalFalseColor.png,0.03
2026-07-16,SWIR_B8A,1.43,Sentinel-2B L2A,2026-07-16_SWIR_B8A.png,0.01
2026-07-16,RGB,1.43,Sentinel-2B L2A,2026-07-16_RGB.png,0.04
2026-07-16,ThermalFalseColor,1.43,Sentinel-2B L2A,2026-07-16_ThermalFalseColor.png,0.03
2026-07-14,ThermalFalseColor,0.0,Sentinel-2C L2A,2026-07-14_ThermalFalseColor.png,0.03
2026-07-14,RGB,0.0,Sentinel-2C L2A,2026-07-14_RGB.png,0.04
2026-07-14,SWIR_B8A,0.0,Sentinel-2C L2A,2026-07-14_SWIR_B8A.png,0.01
2026-07-11,ThermalFalseColor,1.37,Sentinel-2C L2A,2026-07-11_ThermalFalseColor.png,0.03
2026-07-11,RGB,1.37,Sentinel-2C L2A,2026-07-11_RGB.png,0.04
2026-07-11,SWIR_B8A,1.37,Sentinel-2C L2A,2026-07-11_SWIR_B8A.png,0.01
2026-07-09,RGB,0.04,Sentinel-2B L2A,2026-07-09_RGB.png,0.04
2026-07-09,SWIR_B8A,0.04,Sentinel-2B L2A,2026-07-09_SWIR_B8A.png,0.01
2026-07-09,ThermalFalseColor,0.04,Sentinel-2B L2A,2026-07-09_ThermalFalseColor.png,0.03
