fecha,tipo,cobertura_nubosa,sensor,ruta_archivo,tamano_mb
2026-08-05,SWIR_B8A,0.1,Sentinel-2B L2A,2026-08-05_SWIR_B8A.png,0.02
2026-08-05,ThermalFalseColor,0.1,Sentinel-2B L2A,2026-08-05_ThermalFalseColor.png,0.03
2026-08-05,RGB,0.1,Sentinel-2B L2A,2026-08-05_RGB.png,0.05
2026-07-31,SWIR_B8A,0.07,Sentinel-2C L2A,2026-07-31_SWIR_B8A.png,0.02
2026-07-31,ThermalFalseColor,0.07,Sentinel-2C L2A,2026-07-31_ThermalFalseColor.png,0.03
2026-07-31,RGB,0.07,Sentinel-2C L2A,2026-07-31_RGB.png,0.05
2026-07-26,SWIR_B8A,0.42,Sentinel-2B L2A,2026-07-26_SWIR_B8A.png,0.02
2026-07-26,ThermalFalseColor,0.42,Sentinel-2B L2A,2026-07-26_ThermalFalseColor.png,0.03
2026-07-26,RGB,0.42,Sentinel-2B L2A,2026-07-26_RGB.png,0.05
2026-07-23,ThermalFalseColor,1.0,Sentinel-2A L2A,2026-07-23_ThermalFalseColor.png,0.03
2026-07-23,SWIR_B8A,1.0,Sentinel-2A L2A,2026-07-23_SWIR_B8A.png,0.02
2026-07-23,RGB,1.0,Sentinel-2A L2A,2026-07-23_RGB.png,0.05
2026-07-21,RGB,79.0,Sentinel-2C L2A,2026-07-21_RGB.png,0.01
2026-07-21,ThermalFalseColor,79.0,Sentinel-2C L2A,2026-07-21_ThermalFalseColor.png,0.01
2026-07-21,SWIR_B8A,79.0,Sentinel-2C L2A,2026-07-21_SWIR_B8A.png,0.01
2026-07-16,RGB,2.58,Sentinel-2B L2A,2026-07-16_RGB.png,0.04
2026-07-16,SWIR_B8A,2.58,Sentinel-2B L2A,2026-07-16_SWIR_B8A.png,0.02
2026-07-16,ThermalFalseColor,2.58,Sentinel-2B L2A,2026-07-16_ThermalFalseColor.png,0.03
2026-07-11,RGB,0.04,Sentinel-2C L2A,2026-07-11_RGB.png,0.05
2026-07-11,SWIR_B8A,0.04,Sentinel-2C L2A,2026-07-11_SWIR_B8A.png,0.02
2026-07-11,ThermalFalseColor,0.04,Sentinel-2C L2A,2026-07-11_ThermalFalseColor.png,0.03
2026-07-06,ThermalFalseColor,3.23,Sentinel-2B L2A,2026-07-06_ThermalFalseColor.png,0.02
2026-07-06,RGB,3.23,Sentinel-2B L2A,2026-07-06_RGB.png,0.03
2026-07-06,SWIR_B8A,3.23,Sentinel-2B L2A,2026-07-06_SWIR_B8A.png,0.02
2026-07-03,RGB,88.92,Sentinel-2A L2A,2026-07-03_RGB.png,0.0
2026-07-03,ThermalFalseColor,88.92,Sentinel-2A L2A,2026-07-03_ThermalFalseColor.png,0.0
2026-07-03,SWIR_B8A,88.92,Sentinel-2A L2A,2026-07-03_SWIR_B8A.png,0.0
2026-07-01,RGB,74.4,Sentinel-2C L2A,2026-07-01_RGB.png,0.01
2026-07-01,ThermalFalseColor,74.4,Sentinel-2C L2A,2026-07-01_ThermalFalseColor.png,0.0
2026-07-01,SWIR_B8A,74.4,Sentinel-2C L2A,2026-07-01_SWIR_B8A.png,0.0
2026-06-26,RGB,1.24,Sentinel-2B L2A,2026-06-26_RGB.png,0.05
2026-06-26,ThermalFalseColor,1.24,Sentinel-2B L2A,2026-06-26_ThermalFalseColor.png,0.03
