fecha,tipo,cobertura_nubosa,sensor,ruta_archivo,tamano_mb
2026-03-15,RGB,86.95,Sentinel-2B L2A,2026-03-15_RGB.png,0.0
2026-03-15,ThermalFalseColor,86.95,Sentinel-2B L2A,2026-03-15_ThermalFalseColor.png,0.1
2026-03-13,RGB,42.09,Sentinel-2C L2A,2026-03-13_RGB.png,0.33
2026-03-13,ThermalFalseColor,42.09,Sentinel-2C L2A,2026-03-13_ThermalFalseColor.png,0.29
2026-03-12,RGB,38.68,Sentinel-2A L2A,2026-03-12_RGB.png,0.33
2026-03-12,ThermalFalseColor,38.68,Sentinel-2A L2A,2026-03-12_ThermalFalseColor.png,0.28
2026-03-10,RGB,75.83,Sentinel-2C L2A,2026-03-10_RGB.png,0.33
2026-03-10,ThermalFalseColor,75.83,Sentinel-2C L2A,2026-03-10_ThermalFalseColor.png,0.26
2026-03-08,RGB,75.16,Sentinel-2B L2A,2026-03-08_RGB.png,0.46
2026-03-08,ThermalFalseColor,75.16,Sentinel-2B L2A,2026-03-08_ThermalFalseColor.png,0.33
2026-03-05,ThermalFalseColor,0.15,Sentinel-2B L2A,2026-03-05_ThermalFalseColor.png,0.32
2026-03-05,RGB,0.15,Sentinel-2B L2A,2026-03-05_RGB.png,0.4
2026-03-03,RGB,87.08,Sentinel-2C L2A,2026-03-03_RGB.png,0.05
2026-03-03,ThermalFalseColor,87.08,Sentinel-2C L2A,2026-03-03_ThermalFalseColor.png,0.15
2026-02-28,RGB,99.96,Sentinel-2C L2A,2026-02-28_RGB.png,0.0
2026-02-28,ThermalFalseColor,99.96,Sentinel-2C L2A,2026-02-28_ThermalFalseColor.png,0.09
2026-02-26,RGB,87.18,Sentinel-2B L2A,2026-02-26_RGB.png,0.08
2026-02-26,ThermalFalseColor,87.18,Sentinel-2B L2A,2026-02-26_ThermalFalseColor.png,0.15
2026-02-23,ThermalFalseColor,81.6,Sentinel-2B L2A,2026-02-23_ThermalFalseColor.png,0.04
2026-02-23,RGB,81.6,Sentinel-2B L2A,2026-02-23_RGB.png,0.0
2026-02-21,RGB,6.73,Sentinel-2C L2A,2026-02-21_RGB.png,0.51
2026-02-21,ThermalFalseColor,6.73,Sentinel-2C L2A,2026-02-21_ThermalFalseColor.png,0.35
2026-02-18,ThermalFalseColor,95.03,Sentinel-2C L2A,2026-02-18_ThermalFalseColor.png,0.12
2026-02-18,RGB,95.03,Sentinel-2C L2A,2026-02-18_RGB.png,0.0
2026-02-16,ThermalFalseColor,99.91,Sentinel-2B L2A,2026-02-16_ThermalFalseColor.png,0.07
2026-02-16,RGB,99.91,Sentinel-2B L2A,2026-02-16_RGB.png,0.0
2026-02-13,RGB,5.05,Sentinel-2B L2A,2026-02-13_RGB.png,0.36
2026-02-13,ThermalFalseColor,5.05,Sentinel-2B L2A,2026-02-13_ThermalFalseColor.png,0.29
2026-02-11,ThermalFalseColor,85.12,Sentinel-2C L2A,2026-02-11_ThermalFalseColor.png,0.05
2026-02-11,RGB,85.12,Sentinel-2C L2A,2026-02-11_RGB.png,0.01
2026-02-08,RGB,99.79,Sentinel-2C L2A,2026-02-08_RGB.png,0.37
2026-02-08,ThermalFalseColor,99.79,Sentinel-2C L2A,2026-02-08_ThermalFalseColor.png,0.23
2026-02-06,RGB,99.92,Sentinel-2B L2A,2026-02-06_RGB.png,0.04
2026-02-06,ThermalFalseColor,99.92,Sentinel-2B L2A,2026-02-06_ThermalFalseColor.png,0.11
2026-02-03,ThermalFalseColor,91.05,Sentinel-2B L2A,2026-02-03_ThermalFalseColor.png,0.15
2026-02-03,RGB,91.05,Sentinel-2B L2A,2026-02-03_RGB.png,0.05
2026-02-01,ThermalFalseColor,74.4,Sentinel-2C L2A,2026-02-01_ThermalFalseColor.png,0.35
2026-02-01,RGB,74.4,Sentinel-2C L2A,2026-02-01_RGB.png,0.5
2026-01-29,RGB,63.91,Sentinel-2C L2A,2026-01-29_RGB.png,0.12
2026-01-29,ThermalFalseColor,63.91,Sentinel-2C L2A,2026-01-29_ThermalFalseColor.png,0.18
2026-01-27,RGB,99.63,Sentinel-2B L2A,2026-01-27_RGB.png,0.01
2026-01-27,ThermalFalseColor,99.63,Sentinel-2B L2A,2026-01-27_ThermalFalseColor.png,0.15
2026-01-24,RGB,85.59,Sentinel-2B L2A,2026-01-24_RGB.png,0.21
2026-01-24,ThermalFalseColor,85.59,Sentinel-2B L2A,2026-01-24_ThermalFalseColor.png,0.23
2026-01-22,RGB,98.34,Sentinel-2C L2A,2026-01-22_RGB.png,0.0
2026-01-22,ThermalFalseColor,98.34,Sentinel-2C L2A,2026-01-22_ThermalFalseColor.png,0.08
2026-01-19,RGB,0.27,Sentinel-2C L2A,2026-01-19_RGB.png,0.42
2026-01-19,ThermalFalseColor,0.27,Sentinel-2C L2A,2026-01-19_ThermalFalseColor.png,0.32
2026-01-17,RGB,72.68,Sentinel-2B L2A,2026-01-17_RGB.png,0.09
