fecha,tipo,cobertura_nubosa,sensor,ruta_archivo,tamano_mb
2026-02-11,RGB,72.65,Sentinel-2B,RGB/2026-02-11_RGB.png,0.03
2026-02-11,ThermalFalseColor,72.65,Sentinel-2B,ThermalFalseColor/2026-02-11_ThermalFalseColor.png,0.11
2026-02-08,RGB,95.98,Sentinel-2B,RGB/2026-02-08_RGB.png,0.0
2026-02-08,ThermalFalseColor,95.98,Sentinel-2B,ThermalFalseColor/2026-02-08_ThermalFalseColor.png,0.14
2026-02-06,RGB,97.82,Sentinel-2B,RGB/2026-02-06_RGB.png,0.0
2026-02-06,ThermalFalseColor,97.82,Sentinel-2B,ThermalFalseColor/2026-02-06_ThermalFalseColor.png,0.11
2026-02-03,RGB,94.92,Sentinel-2B,RGB/2026-02-03_RGB.png,0.04
2026-02-03,ThermalFalseColor,94.92,Sentinel-2B,ThermalFalseColor/2026-02-03_ThermalFalseColor.png,0.18
2026-02-01,ThermalFalseColor,39.9,Sentinel-2B,ThermalFalseColor/2026-02-01_ThermalFalseColor.png,0.15
2026-02-01,RGB,39.9,Sentinel-2B,RGB/2026-02-01_RGB.png,0.14
2026-01-29,ThermalFalseColor,10.1,Sentinel-2B,ThermalFalseColor/2026-01-29_ThermalFalseColor.png,0.15
2026-01-29,RGB,10.1,Sentinel-2B,RGB/2026-01-29_RGB.png,0.15
2026-01-27,RGB,99.99,Sentinel-2B,RGB/2026-01-27_RGB.png,0.0
2026-01-27,ThermalFalseColor,99.99,Sentinel-2B,ThermalFalseColor/2026-01-27_ThermalFalseColor.png,0.12
2026-01-24,RGB,90.68,Sentinel-2B,RGB/2026-01-24_RGB.png,0.04
2026-01-24,ThermalFalseColor,90.68,Sentinel-2B,ThermalFalseColor/2026-01-24_ThermalFalseColor.png,0.15
2026-01-22,RGB,98.68,Sentinel-2B,RGB/2026-01-22_RGB.png,0.12
2026-01-22,ThermalFalseColor,98.68,Sentinel-2B,ThermalFalseColor/2026-01-22_ThermalFalseColor.png,0.18
2026-01-19,RGB,0.0,Sentinel-2B,RGB/2026-01-19_RGB.png,0.13
2026-01-19,ThermalFalseColor,0.0,Sentinel-2B,ThermalFalseColor/2026-01-19_ThermalFalseColor.png,0.15
2026-01-17,ThermalFalseColor,74.02,Sentinel-2B,ThermalFalseColor/2026-01-17_ThermalFalseColor.png,0.17
2026-01-17,RGB,74.02,Sentinel-2B,RGB/2026-01-17_RGB.png,0.0
2026-01-12,RGB,99.09,Sentinel-2B,RGB/2026-01-12_RGB.png,0.1
2026-01-12,ThermalFalseColor,99.09,Sentinel-2B,ThermalFalseColor/2026-01-12_ThermalFalseColor.png,0.19
2026-01-11,ThermalFalseColor,99.79,Sentinel-2B,ThermalFalseColor/2026-01-11_ThermalFalseColor.png,0.07
2026-01-11,RGB,99.79,Sentinel-2B,RGB/2026-01-11_RGB.png,0.0
2026-01-09,RGB,45.74,Sentinel-2B,RGB/2026-01-09_RGB.png,0.13
2026-01-09,ThermalFalseColor,45.74,Sentinel-2B,ThermalFalseColor/2026-01-09_ThermalFalseColor.png,0.15
2026-01-07,RGB,33.82,Sentinel-2B,RGB/2026-01-07_RGB.png,0.12
2026-01-07,ThermalFalseColor,33.82,Sentinel-2B,ThermalFalseColor/2026-01-07_ThermalFalseColor.png,0.14
2026-01-04,RGB,0.0,Sentinel-2B,RGB/2026-01-04_RGB.png,0.13
2026-01-04,ThermalFalseColor,0.0,Sentinel-2B,ThermalFalseColor/2026-01-04_ThermalFalseColor.png,0.14
