fecha,tipo,cobertura_nubosa,sensor,ruta_archivo,tamano_mb
2026-07-13,RGB,98.44,Sentinel-2B L2A,2026-07-13_RGB.png,0.0
2026-07-13,ThermalFalseColor,98.44,Sentinel-2B L2A,2026-07-13_ThermalFalseColor.png,0.22
2026-07-13,SWIR_B8A,98.44,Sentinel-2B L2A,2026-07-13_SWIR_B8A.png,0.22
2026-07-11,RGB,93.91,Sentinel-2C L2A,2026-07-11_RGB.png,0.37
2026-07-11,ThermalFalseColor,93.91,Sentinel-2C L2A,2026-07-11_ThermalFalseColor.png,0.25
2026-07-11,SWIR_B8A,93.91,Sentinel-2C L2A,2026-07-11_SWIR_B8A.png,0.2
2026-07-08,RGB,99.84,Sentinel-2C L2A,2026-07-08_RGB.png,0.2
2026-07-08,ThermalFalseColor,99.84,Sentinel-2C L2A,2026-07-08_ThermalFalseColor.png,0.16
2026-07-08,SWIR_B8A,99.84,Sentinel-2C L2A,2026-07-08_SWIR_B8A.png,0.16
2026-07-06,RGB,99.73,Sentinel-2B L2A,2026-07-06_RGB.png,0.52
2026-07-06,ThermalFalseColor,99.73,Sentinel-2B L2A,2026-07-06_ThermalFalseColor.png,0.42
2026-07-06,SWIR_B8A,99.73,Sentinel-2B L2A,2026-07-06_SWIR_B8A.png,0.28
2026-07-03,RGB,9.38,Sentinel-2B L2A,2026-07-03_RGB.png,0.98
2026-07-03,ThermalFalseColor,9.38,Sentinel-2B L2A,2026-07-03_ThermalFalseColor.png,0.65
2026-07-03,SWIR_B8A,9.38,Sentinel-2B L2A,2026-07-03_SWIR_B8A.png,0.45
2026-07-01,RGB,0.26,Sentinel-2C L2A,2026-07-01_RGB.png,0.99
2026-07-01,ThermalFalseColor,0.26,Sentinel-2C L2A,2026-07-01_ThermalFalseColor.png,0.66
2026-07-01,SWIR_B8A,0.26,Sentinel-2C L2A,2026-07-01_SWIR_B8A.png,0.44
2026-06-30,RGB,92.5,Sentinel-2A L2A,2026-06-30_RGB.png,0.09
2026-06-30,ThermalFalseColor,92.5,Sentinel-2A L2A,2026-06-30_ThermalFalseColor.png,0.18
2026-06-30,SWIR_B8A,92.5,Sentinel-2A L2A,2026-06-30_SWIR_B8A.png,0.18
2026-06-28,RGB,99.33,Sentinel-2C L2A,2026-06-28_RGB.png,0.23
2026-06-28,ThermalFalseColor,99.33,Sentinel-2C L2A,2026-06-28_ThermalFalseColor.png,0.26
2026-06-28,SWIR_B8A,99.33,Sentinel-2C L2A,2026-06-28_SWIR_B8A.png,0.25
2026-06-26,ThermalFalseColor,99.64,Sentinel-2B L2A,2026-06-26_ThermalFalseColor.png,0.39
2026-06-26,RGB,99.64,Sentinel-2B L2A,2026-06-26_RGB.png,0.49
2026-06-26,SWIR_B8A,99.64,Sentinel-2B L2A,2026-06-26_SWIR_B8A.png,0.25
2026-06-23,ThermalFalseColor,99.71,Sentinel-2B L2A,2026-06-23_ThermalFalseColor.png,0.18
2026-06-23,RGB,99.71,Sentinel-2B L2A,2026-06-23_RGB.png,0.23
2026-06-23,SWIR_B8A,99.71,Sentinel-2B L2A,2026-06-23_SWIR_B8A.png,0.18
2026-06-21,ThermalFalseColor,32.53,Sentinel-2C L2A,2026-06-21_ThermalFalseColor.png,0.51
2026-06-21,RGB,32.53,Sentinel-2C L2A,2026-06-21_RGB.png,0.74
2026-06-21,SWIR_B8A,32.53,Sentinel-2C L2A,2026-06-21_SWIR_B8A.png,0.36
2026-06-18,RGB,74.75,Sentinel-2C L2A,2026-06-18_RGB.png,0.43
2026-06-18,SWIR_B8A,74.75,Sentinel-2C L2A,2026-06-18_SWIR_B8A.png,0.33
2026-06-18,ThermalFalseColor,74.75,Sentinel-2C L2A,2026-06-18_ThermalFalseColor.png,0.4
2026-06-16,ThermalFalseColor,21.43,Sentinel-2B L2A,2026-06-16_ThermalFalseColor.png,0.58
2026-06-16,RGB,21.43,Sentinel-2B L2A,2026-06-16_RGB.png,0.84
2026-06-16,SWIR_B8A,21.43,Sentinel-2B L2A,2026-06-16_SWIR_B8A.png,0.41
2026-06-13,RGB,0.21,Sentinel-2A L2A,2026-06-13_RGB.png,0.99
2026-06-13,SWIR_B8A,0.21,Sentinel-2A L2A,2026-06-13_SWIR_B8A.png,0.45
2026-06-13,ThermalFalseColor,0.21,Sentinel-2A L2A,2026-06-13_ThermalFalseColor.png,0.63
2026-06-11,ThermalFalseColor,92.41,Sentinel-2C L2A,2026-06-11_ThermalFalseColor.png,0.24
2026-06-11,RGB,92.41,Sentinel-2C L2A,2026-06-11_RGB.png,0.0
2026-06-11,SWIR_B8A,92.41,Sentinel-2C L2A,2026-06-11_SWIR_B8A.png,0.24
2026-06-10,ThermalFalseColor,99.99,Sentinel-2A L2A,2026-06-10_ThermalFalseColor.png,0.21
2026-06-10,SWIR_B8A,99.99,Sentinel-2A L2A,2026-06-10_SWIR_B8A.png,0.21
2026-06-10,RGB,99.99,Sentinel-2A L2A,2026-06-10_RGB.png,0.0
2026-06-08,SWIR_B8A,91.46,Sentinel-2C L2A,2026-06-08_SWIR_B8A.png,0.44
2026-06-08,RGB,91.46,Sentinel-2C L2A,2026-06-08_RGB.png,0.88
2026-06-08,ThermalFalseColor,91.46,Sentinel-2C L2A,2026-06-08_ThermalFalseColor.png,0.63
2026-06-06,ThermalFalseColor,67.1,Sentinel-2B L2A,2026-06-06_ThermalFalseColor.png,0.51
2026-06-06,SWIR_B8A,67.1,Sentinel-2B L2A,2026-06-06_SWIR_B8A.png,0.32
2026-06-06,RGB,67.1,Sentinel-2B L2A,2026-06-06_RGB.png,0.74
2026-06-03,ThermalFalseColor,86.43,Sentinel-2B L2A,2026-06-03_ThermalFalseColor.png,0.28
2026-06-03,RGB,86.43,Sentinel-2B L2A,2026-06-03_RGB.png,0.03
2026-06-03,SWIR_B8A,86.43,Sentinel-2B L2A,2026-06-03_SWIR_B8A.png,0.27
2026-06-01,ThermalFalseColor,98.94,Sentinel-2C L2A,2026-06-01_ThermalFalseColor.png,0.65
