fecha,tipo,cobertura_nubosa,sensor,ruta_archivo,tamano_mb
2026-07-06,RGB,99.69,Sentinel-2B L2A,2026-07-06_RGB.png,0.2
2026-07-06,ThermalFalseColor,99.69,Sentinel-2B L2A,2026-07-06_ThermalFalseColor.png,0.18
2026-07-06,SWIR_B8A,99.69,Sentinel-2B L2A,2026-07-06_SWIR_B8A.png,0.18
2026-07-03,RGB,0.47,Sentinel-2B L2A,2026-07-03_RGB.png,0.85
2026-07-03,ThermalFalseColor,0.47,Sentinel-2B L2A,2026-07-03_ThermalFalseColor.png,0.55
2026-07-03,SWIR_B8A,0.47,Sentinel-2B L2A,2026-07-03_SWIR_B8A.png,0.39
2026-07-01,RGB,0.05,Sentinel-2C L2A,2026-07-01_RGB.png,0.8
2026-07-01,ThermalFalseColor,0.05,Sentinel-2C L2A,2026-07-01_ThermalFalseColor.png,0.54
2026-07-01,SWIR_B8A,0.05,Sentinel-2C L2A,2026-07-01_SWIR_B8A.png,0.39
2026-06-30,RGB,75.71,Sentinel-2A L2A,2026-06-30_RGB.png,0.49
2026-06-30,ThermalFalseColor,75.71,Sentinel-2A L2A,2026-06-30_ThermalFalseColor.png,0.37
2026-06-30,SWIR_B8A,75.71,Sentinel-2A L2A,2026-06-30_SWIR_B8A.png,0.24
2026-06-28,RGB,95.57,Sentinel-2C L2A,2026-06-28_RGB.png,0.2
2026-06-28,ThermalFalseColor,95.57,Sentinel-2C L2A,2026-06-28_ThermalFalseColor.png,0.25
2026-06-28,SWIR_B8A,95.57,Sentinel-2C L2A,2026-06-28_SWIR_B8A.png,0.25
2026-06-26,RGB,99.98,Sentinel-2B L2A,2026-06-26_RGB.png,0.22
2026-06-26,ThermalFalseColor,99.98,Sentinel-2B L2A,2026-06-26_ThermalFalseColor.png,0.16
2026-06-26,SWIR_B8A,99.98,Sentinel-2B L2A,2026-06-26_SWIR_B8A.png,0.16
2026-06-23,RGB,99.91,Sentinel-2B L2A,2026-06-23_RGB.png,0.19
2026-06-23,ThermalFalseColor,99.91,Sentinel-2B L2A,2026-06-23_ThermalFalseColor.png,0.16
2026-06-23,SWIR_B8A,99.91,Sentinel-2B L2A,2026-06-23_SWIR_B8A.png,0.15
2026-06-21,ThermalFalseColor,55.95,Sentinel-2C L2A,2026-06-21_ThermalFalseColor.png,0.49
2026-06-21,RGB,55.95,Sentinel-2C L2A,2026-06-21_RGB.png,0.66
2026-06-21,SWIR_B8A,55.95,Sentinel-2C L2A,2026-06-21_SWIR_B8A.png,0.31
2026-06-18,RGB,86.41,Sentinel-2C L2A,2026-06-18_RGB.png,0.54
2026-06-18,ThermalFalseColor,86.41,Sentinel-2C L2A,2026-06-18_ThermalFalseColor.png,0.4
2026-06-18,SWIR_B8A,86.41,Sentinel-2C L2A,2026-06-18_SWIR_B8A.png,0.27
2026-06-16,SWIR_B8A,48.69,Sentinel-2B L2A,2026-06-16_SWIR_B8A.png,0.33
2026-06-16,RGB,48.69,Sentinel-2B L2A,2026-06-16_RGB.png,0.8
2026-06-16,ThermalFalseColor,48.69,Sentinel-2B L2A,2026-06-16_ThermalFalseColor.png,0.53
2026-06-13,RGB,1.31,Sentinel-2A L2A,2026-06-13_RGB.png,1.08
2026-06-13,SWIR_B8A,1.31,Sentinel-2A L2A,2026-06-13_SWIR_B8A.png,0.39
2026-06-13,ThermalFalseColor,1.31,Sentinel-2A L2A,2026-06-13_ThermalFalseColor.png,0.53
2026-06-11,RGB,96.15,Sentinel-2C L2A,2026-06-11_RGB.png,0.0
2026-06-11,ThermalFalseColor,96.15,Sentinel-2C L2A,2026-06-11_ThermalFalseColor.png,0.25
2026-06-11,SWIR_B8A,96.15,Sentinel-2C L2A,2026-06-11_SWIR_B8A.png,0.25
2026-06-10,RGB,99.98,Sentinel-2A L2A,2026-06-10_RGB.png,0.0
2026-06-10,SWIR_B8A,99.98,Sentinel-2A L2A,2026-06-10_SWIR_B8A.png,0.16
2026-06-10,ThermalFalseColor,99.98,Sentinel-2A L2A,2026-06-10_ThermalFalseColor.png,0.16
