fecha,tipo,cobertura_nubosa,sensor,ruta_archivo,tamano_mb
2026-02-03,RGB,53.68,Sentinel-2B,RGB/2026-02-03_RGB.png,0.77
2026-02-03,ThermalFalseColor,53.68,Sentinel-2B,ThermalFalseColor/2026-02-03_ThermalFalseColor.png,0.78
2026-02-01,RGB,29.64,Sentinel-2B,RGB/2026-02-01_RGB.png,1.29
2026-02-01,ThermalFalseColor,29.64,Sentinel-2B,ThermalFalseColor/2026-02-01_ThermalFalseColor.png,1.37
2026-01-29,ThermalFalseColor,0.05,Sentinel-2B,ThermalFalseColor/2026-01-29_ThermalFalseColor.png,0.86
2026-01-29,RGB,0.05,Sentinel-2B,RGB/2026-01-29_RGB.png,0.85
2026-01-27,RGB,15.38,Sentinel-2B,RGB/2026-01-27_RGB.png,1.31
2026-01-27,ThermalFalseColor,15.38,Sentinel-2B,ThermalFalseColor/2026-01-27_ThermalFalseColor.png,1.36
2026-01-24,ThermalFalseColor,3.81,Sentinel-2B,ThermalFalseColor/2026-01-24_ThermalFalseColor.png,0.85
2026-01-24,RGB,3.81,Sentinel-2B,RGB/2026-01-24_RGB.png,0.84
2026-01-22,ThermalFalseColor,0.11,Sentinel-2B,ThermalFalseColor/2026-01-22_ThermalFalseColor.png,1.38
2026-01-22,RGB,0.11,Sentinel-2B,RGB/2026-01-22_RGB.png,1.32
2026-01-19,RGB,0.42,Sentinel-2B,RGB/2026-01-19_RGB.png,0.83
2026-01-19,ThermalFalseColor,0.42,Sentinel-2B,ThermalFalseColor/2026-01-19_ThermalFalseColor.png,0.85
2026-01-17,RGB,1.44,Sentinel-2B,RGB/2026-01-17_RGB.png,1.3
2026-01-17,ThermalFalseColor,1.44,Sentinel-2B,ThermalFalseColor/2026-01-17_ThermalFalseColor.png,1.35
2026-01-12,RGB,16.35,Sentinel-2B,RGB/2026-01-12_RGB.png,1.31
2026-01-12,ThermalFalseColor,16.35,Sentinel-2B,ThermalFalseColor/2026-01-12_ThermalFalseColor.png,1.37
2026-01-11,ThermalFalseColor,0.06,Sentinel-2B,ThermalFalseColor/2026-01-11_ThermalFalseColor.png,0.93
2026-01-11,RGB,0.06,Sentinel-2B,RGB/2026-01-11_RGB.png,0.93
2026-01-09,ThermalFalseColor,6.26,Sentinel-2B,ThermalFalseColor/2026-01-09_ThermalFalseColor.png,0.91
2026-01-09,RGB,6.26,Sentinel-2B,RGB/2026-01-09_RGB.png,0.91
2026-01-07,RGB,0.05,Sentinel-2B,RGB/2026-01-07_RGB.png,1.3
2026-01-07,ThermalFalseColor,0.05,Sentinel-2B,ThermalFalseColor/2026-01-07_ThermalFalseColor.png,1.35
2026-01-04,RGB,0.1,Sentinel-2B,RGB/2026-01-04_RGB.png,0.89
2026-01-04,ThermalFalseColor,0.1,Sentinel-2B,ThermalFalseColor/2026-01-04_ThermalFalseColor.png,0.9
2026-01-02,RGB,0.07,Sentinel-2B,RGB/2026-01-02_RGB.png,1.31
2026-01-02,ThermalFalseColor,0.07,Sentinel-2B,ThermalFalseColor/2026-01-02_ThermalFalseColor.png,1.37
2025-12-30,RGB,0.09,Sentinel-2B,RGB/2025-12-30_RGB.png,0.97
2025-12-30,ThermalFalseColor,0.09,Sentinel-2B,ThermalFalseColor/2025-12-30_ThermalFalseColor.png,0.97
2025-12-28,RGB,0.03,Sentinel-2B,RGB/2025-12-28_RGB.png,1.31
2025-12-28,ThermalFalseColor,0.03,Sentinel-2B,ThermalFalseColor/2025-12-28_ThermalFalseColor.png,1.35
