fecha,tipo,cobertura_nubosa,sensor,ruta_archivo,tamano_mb
2026-03-25,ThermalFalseColor,0.12,Sentinel-2B L2A,2026-03-25_ThermalFalseColor.png,0.19
2026-03-25,RGB,0.12,Sentinel-2B L2A,2026-03-25_RGB.png,0.14
2026-03-22,ThermalFalseColor,95.09,Sentinel-2A L2A,2026-03-22_ThermalFalseColor.png,0.18
2026-03-22,RGB,95.09,Sentinel-2A L2A,2026-03-22_RGB.png,0.01
2026-03-20,ThermalFalseColor,99.86,Sentinel-2C L2A,2026-03-20_ThermalFalseColor.png,0.11
2026-03-20,RGB,99.86,Sentinel-2C L2A,2026-03-20_RGB.png,0.0
2026-03-18,RGB,0.0,Sentinel-2B L2A,2026-03-18_RGB.png,0.36
2026-03-18,ThermalFalseColor,0.0,Sentinel-2B L2A,2026-03-18_ThermalFalseColor.png,0.29
2026-03-15,ThermalFalseColor,99.95,Sentinel-2B L2A,2026-03-15_ThermalFalseColor.png,0.11
2026-03-15,RGB,99.95,Sentinel-2B L2A,2026-03-15_RGB.png,0.0
2026-03-13,ThermalFalseColor,6.35,Sentinel-2C L2A,2026-03-13_ThermalFalseColor.png,0.39
2026-03-13,RGB,6.35,Sentinel-2C L2A,2026-03-13_RGB.png,0.56
2026-03-12,RGB,0.01,Sentinel-2A L2A,2026-03-12_RGB.png,0.57
2026-03-12,ThermalFalseColor,0.01,Sentinel-2A L2A,2026-03-12_ThermalFalseColor.png,0.39
2026-03-10,RGB,0.0,Sentinel-2C L2A,2026-03-10_RGB.png,0.58
2026-03-10,ThermalFalseColor,0.0,Sentinel-2C L2A,2026-03-10_ThermalFalseColor.png,0.4
2026-03-08,RGB,9.37,Sentinel-2B L2A,2026-03-08_RGB.png,0.56
2026-03-08,ThermalFalseColor,9.37,Sentinel-2B L2A,2026-03-08_ThermalFalseColor.png,0.38
2026-03-05,RGB,0.0,Sentinel-2B L2A,2026-03-05_RGB.png,0.58
2026-03-05,ThermalFalseColor,0.0,Sentinel-2B L2A,2026-03-05_ThermalFalseColor.png,0.4
2026-03-03,RGB,0.01,Sentinel-2C L2A,2026-03-03_RGB.png,0.65
2026-03-03,ThermalFalseColor,0.01,Sentinel-2C L2A,2026-03-03_ThermalFalseColor.png,0.42
2026-02-28,RGB,1.21,Sentinel-2C L2A,2026-02-28_RGB.png,0.6
2026-02-28,ThermalFalseColor,1.21,Sentinel-2C L2A,2026-02-28_ThermalFalseColor.png,0.41
2026-02-26,RGB,0.07,Sentinel-2B L2A,2026-02-26_RGB.png,0.55
2026-02-26,ThermalFalseColor,0.07,Sentinel-2B L2A,2026-02-26_ThermalFalseColor.png,0.38
2026-02-23,RGB,0.89,Sentinel-2B L2A,2026-02-23_RGB.png,0.57
2026-02-23,ThermalFalseColor,0.89,Sentinel-2B L2A,2026-02-23_ThermalFalseColor.png,0.4
2026-02-21,RGB,3.77,Sentinel-2C L2A,2026-02-21_RGB.png,0.55
2026-02-21,ThermalFalseColor,3.77,Sentinel-2C L2A,2026-02-21_ThermalFalseColor.png,0.38
2026-02-18,RGB,0.0,Sentinel-2C L2A,2026-02-18_RGB.png,0.57
2026-02-18,ThermalFalseColor,0.0,Sentinel-2C L2A,2026-02-18_ThermalFalseColor.png,0.4
2026-02-16,RGB,0.03,Sentinel-2B L2A,2026-02-16_RGB.png,0.56
2026-02-16,ThermalFalseColor,0.03,Sentinel-2B L2A,2026-02-16_ThermalFalseColor.png,0.39
2026-02-13,RGB,0.03,Sentinel-2B L2A,2026-02-13_RGB.png,0.59
2026-02-13,ThermalFalseColor,0.03,Sentinel-2B L2A,2026-02-13_ThermalFalseColor.png,0.4
2026-02-11,RGB,54.31,Sentinel-2C L2A,2026-02-11_RGB.png,0.62
2026-02-11,ThermalFalseColor,54.31,Sentinel-2C L2A,2026-02-11_ThermalFalseColor.png,0.4
2026-02-08,ThermalFalseColor,0.01,Sentinel-2C L2A,2026-02-08_ThermalFalseColor.png,0.4
2026-02-08,RGB,0.01,Sentinel-2C L2A,2026-02-08_RGB.png,0.58
2026-02-06,ThermalFalseColor,1.13,Sentinel-2B L2A,2026-02-06_ThermalFalseColor.png,0.37
2026-02-06,RGB,1.13,Sentinel-2B L2A,2026-02-06_RGB.png,0.54
2026-02-03,RGB,87.14,Sentinel-2B L2A,2026-02-03_RGB.png,0.29
2026-02-03,ThermalFalseColor,87.14,Sentinel-2B L2A,2026-02-03_ThermalFalseColor.png,0.28
2026-02-01,RGB,0.27,Sentinel-2C L2A,2026-02-01_RGB.png,0.56
2026-02-01,ThermalFalseColor,0.27,Sentinel-2C L2A,2026-02-01_ThermalFalseColor.png,0.39
2026-01-29,RGB,0.03,Sentinel-2C L2A,2026-01-29_RGB.png,0.56
2026-01-29,ThermalFalseColor,0.03,Sentinel-2C L2A,2026-01-29_ThermalFalseColor.png,0.38
2026-01-27,RGB,37.82,Sentinel-2B L2A,2026-01-27_RGB.png,0.57
2026-01-27,ThermalFalseColor,37.82,Sentinel-2B L2A,2026-01-27_ThermalFalseColor.png,0.38
2026-01-24,RGB,0.03,Sentinel-2B L2A,2026-01-24_RGB.png,0.56
2026-01-24,ThermalFalseColor,0.03,Sentinel-2B L2A,2026-01-24_ThermalFalseColor.png,0.39
2026-01-22,RGB,0.04,Sentinel-2C L2A,2026-01-22_RGB.png,0.58
2026-01-22,ThermalFalseColor,0.04,Sentinel-2C L2A,2026-01-22_ThermalFalseColor.png,0.4
2026-01-19,RGB,0.04,Sentinel-2C L2A,2026-01-19_RGB.png,0.58
2026-01-19,ThermalFalseColor,0.04,Sentinel-2C L2A,2026-01-19_ThermalFalseColor.png,0.4
2026-01-17,RGB,0.45,Sentinel-2B L2A,2026-01-17_RGB.png,0.58
2026-01-17,ThermalFalseColor,0.45,Sentinel-2B L2A,2026-01-17_ThermalFalseColor.png,0.4
2026-01-12,RGB,0.11,Sentinel-2C L2A,2026-01-12_RGB.png,0.59
2026-01-12,ThermalFalseColor,0.11,Sentinel-2C L2A,2026-01-12_ThermalFalseColor.png,0.41
2026-01-11,RGB,0.0,Sentinel-2A L2A,2026-01-11_RGB.png,0.62
2026-01-11,ThermalFalseColor,0.0,Sentinel-2A L2A,2026-01-11_ThermalFalseColor.png,0.41
2026-01-09,RGB,0.03,Sentinel-2C L2A,2026-01-09_RGB.png,0.63
2026-01-09,ThermalFalseColor,0.03,Sentinel-2C L2A,2026-01-09_ThermalFalseColor.png,0.42
2026-01-07,RGB,12.13,Sentinel-2B L2A,2026-01-07_RGB.png,0.59
2026-01-07,ThermalFalseColor,12.13,Sentinel-2B L2A,2026-01-07_ThermalFalseColor.png,0.39
2026-01-04,RGB,0.02,Sentinel-2B L2A,2026-01-04_RGB.png,0.65
2026-01-04,ThermalFalseColor,0.02,Sentinel-2B L2A,2026-01-04_ThermalFalseColor.png,0.44
2026-01-02,RGB,0.0,Sentinel-2C L2A,2026-01-02_RGB.png,0.64
2026-01-02,ThermalFalseColor,0.0,Sentinel-2C L2A,2026-01-02_ThermalFalseColor.png,0.43
2025-12-30,RGB,0.11,Sentinel-2C L2A,2025-12-30_RGB.png,0.68
2025-12-30,ThermalFalseColor,0.11,Sentinel-2C L2A,2025-12-30_ThermalFalseColor.png,0.46
2025-12-28,RGB,0.03,Sentinel-2B L2A,2025-12-28_RGB.png,0.68
2025-12-28,ThermalFalseColor,0.03,Sentinel-2B L2A,2025-12-28_ThermalFalseColor.png,0.45
2025-12-25,RGB,0.01,Sentinel-2B L2A,2025-12-25_RGB.png,0.7
2025-12-25,ThermalFalseColor,0.01,Sentinel-2B L2A,2025-12-25_ThermalFalseColor.png,0.46
2025-12-23,RGB,5.42,Sentinel-2B,RGB/2025-12-23_RGB.png,0.73
2025-12-23,ThermalFalseColor,5.42,Sentinel-2B,ThermalFalseColor/2025-12-23_ThermalFalseColor.png,0.48
2025-12-22,ThermalFalseColor,6.81,Sentinel-2B,ThermalFalseColor/2025-12-22_ThermalFalseColor.png,0.48
2025-12-22,RGB,6.81,Sentinel-2B,RGB/2025-12-22_RGB.png,0.74
2025-12-20,ThermalFalseColor,98.69,Sentinel-2B,ThermalFalseColor/2025-12-20_ThermalFalseColor.png,0.07
2025-12-20,RGB,98.69,Sentinel-2B,RGB/2025-12-20_RGB.png,0.0
2025-12-18,RGB,0.0,Sentinel-2B,RGB/2025-12-18_RGB.png,0.73
2025-12-18,ThermalFalseColor,0.0,Sentinel-2B,ThermalFalseColor/2025-12-18_ThermalFalseColor.png,0.47
2025-12-15,RGB,31.0,Sentinel-2B,RGB/2025-12-15_RGB.png,0.69
2025-12-15,ThermalFalseColor,31.0,Sentinel-2B,ThermalFalseColor/2025-12-15_ThermalFalseColor.png,0.46
2025-12-13,RGB,96.31,Sentinel-2B,RGB/2025-12-13_RGB.png,0.0
2025-12-13,ThermalFalseColor,96.31,Sentinel-2B,ThermalFalseColor/2025-12-13_ThermalFalseColor.png,0.08
