fecha,tipo,cobertura_nubosa,sensor,ruta_archivo,tamano_mb
2026-08-10,RGB,0.88,Sentinel-2C L2A,2026-08-10_RGB.png,0.06
2026-08-10,ThermalFalseColor,0.88,Sentinel-2C L2A,2026-08-10_ThermalFalseColor.png,0.06
2026-08-10,SWIR_B8A,0.88,Sentinel-2C L2A,2026-08-10_SWIR_B8A.png,0.06
2026-08-07,RGB,97.23,Sentinel-2C L2A,2026-08-07_RGB.png,0.02
2026-08-07,ThermalFalseColor,97.23,Sentinel-2C L2A,2026-08-07_ThermalFalseColor.png,0.06
2026-08-07,SWIR_B8A,97.23,Sentinel-2C L2A,2026-08-07_SWIR_B8A.png,0.06
2026-08-05,RGB,99.94,Sentinel-2B L2A,2026-08-05_RGB.png,0.0
2026-08-05,ThermalFalseColor,99.94,Sentinel-2B L2A,2026-08-05_ThermalFalseColor.png,0.05
2026-08-05,SWIR_B8A,99.94,Sentinel-2B L2A,2026-08-05_SWIR_B8A.png,0.05
2026-08-02,RGB,99.15,Sentinel-2B L2A,2026-08-02_RGB.png,0.06
2026-08-02,ThermalFalseColor,99.15,Sentinel-2B L2A,2026-08-02_ThermalFalseColor.png,0.06
2026-08-02,SWIR_B8A,99.15,Sentinel-2B L2A,2026-08-02_SWIR_B8A.png,0.06
2026-07-31,RGB,99.99,Sentinel-2C L2A,2026-07-31_RGB.png,0.0
2026-07-31,ThermalFalseColor,99.99,Sentinel-2C L2A,2026-07-31_ThermalFalseColor.png,0.05
2026-07-31,SWIR_B8A,99.99,Sentinel-2C L2A,2026-07-31_SWIR_B8A.png,0.05
2026-07-30,RGB,99.9,Sentinel-2A L2A,2026-07-30_RGB.png,0.03
2026-07-30,ThermalFalseColor,99.9,Sentinel-2A L2A,2026-07-30_ThermalFalseColor.png,0.03
2026-07-30,SWIR_B8A,99.9,Sentinel-2A L2A,2026-07-30_SWIR_B8A.png,0.03
2026-07-28,RGB,96.64,Sentinel-2C L2A,2026-07-28_RGB.png,0.1
2026-07-28,ThermalFalseColor,96.64,Sentinel-2C L2A,2026-07-28_ThermalFalseColor.png,0.09
2026-07-28,SWIR_B8A,96.64,Sentinel-2C L2A,2026-07-28_SWIR_B8A.png,0.07
2026-07-26,ThermalFalseColor,99.94,Sentinel-2B L2A,2026-07-26_ThermalFalseColor.png,0.04
2026-07-26,RGB,99.94,Sentinel-2B L2A,2026-07-26_RGB.png,0.0
2026-07-26,SWIR_B8A,99.94,Sentinel-2B L2A,2026-07-26_SWIR_B8A.png,0.04
2026-07-23,ThermalFalseColor,98.47,Sentinel-2A L2A,2026-07-23_ThermalFalseColor.png,0.05
2026-07-23,RGB,98.47,Sentinel-2A L2A,2026-07-23_RGB.png,0.0
2026-07-23,SWIR_B8A,98.47,Sentinel-2A L2A,2026-07-23_SWIR_B8A.png,0.05
2026-07-21,SWIR_B8A,99.99,Sentinel-2C L2A,2026-07-21_SWIR_B8A.png,0.04
2026-07-21,RGB,99.99,Sentinel-2C L2A,2026-07-21_RGB.png,0.0
2026-07-21,ThermalFalseColor,99.99,Sentinel-2C L2A,2026-07-21_ThermalFalseColor.png,0.04
2026-07-18,SWIR_B8A,99.77,Sentinel-2C L2A,2026-07-18_SWIR_B8A.png,0.06
2026-07-18,RGB,99.77,Sentinel-2C L2A,2026-07-18_RGB.png,0.12
2026-07-18,ThermalFalseColor,99.77,Sentinel-2C L2A,2026-07-18_ThermalFalseColor.png,0.09
2026-07-16,RGB,99.98,Sentinel-2B L2A,2026-07-16_RGB.png,0.0
2026-07-16,SWIR_B8A,99.98,Sentinel-2B L2A,2026-07-16_SWIR_B8A.png,0.04
2026-07-16,ThermalFalseColor,99.98,Sentinel-2B L2A,2026-07-16_ThermalFalseColor.png,0.04
2026-07-13,RGB,99.75,Sentinel-2B L2A,2026-07-13_RGB.png,0.05
2026-07-13,ThermalFalseColor,99.75,Sentinel-2B L2A,2026-07-13_ThermalFalseColor.png,0.04
2026-07-13,SWIR_B8A,99.75,Sentinel-2B L2A,2026-07-13_SWIR_B8A.png,0.04
2026-07-11,RGB,30.03,Sentinel-2C L2A,2026-07-11_RGB.png,0.12
2026-07-11,ThermalFalseColor,30.03,Sentinel-2C L2A,2026-07-11_ThermalFalseColor.png,0.08
2026-07-11,SWIR_B8A,30.03,Sentinel-2C L2A,2026-07-11_SWIR_B8A.png,0.07
2026-07-08,ThermalFalseColor,99.66,Sentinel-2C L2A,2026-07-08_ThermalFalseColor.png,0.04
2026-07-08,SWIR_B8A,99.66,Sentinel-2C L2A,2026-07-08_SWIR_B8A.png,0.04
2026-07-08,RGB,99.66,Sentinel-2C L2A,2026-07-08_RGB.png,0.0
2026-07-06,SWIR_B8A,95.82,Sentinel-2B L2A,2026-07-06_SWIR_B8A.png,0.05
2026-07-06,RGB,95.82,Sentinel-2B L2A,2026-07-06_RGB.png,0.08
2026-07-06,ThermalFalseColor,95.82,Sentinel-2B L2A,2026-07-06_ThermalFalseColor.png,0.06
2026-07-03,SWIR_B8A,0.82,Sentinel-2B L2A,2026-07-03_SWIR_B8A.png,0.08
2026-07-03,ThermalFalseColor,0.82,Sentinel-2B L2A,2026-07-03_ThermalFalseColor.png,0.13
2026-07-03,RGB,0.82,Sentinel-2B L2A,2026-07-03_RGB.png,0.22
2026-07-01,ThermalFalseColor,30.14,Sentinel-2C L2A,2026-07-01_ThermalFalseColor.png,0.12
2026-07-01,SWIR_B8A,30.14,Sentinel-2C L2A,2026-07-01_SWIR_B8A.png,0.08
2026-07-01,RGB,30.14,Sentinel-2C L2A,2026-07-01_RGB.png,0.2
2026-06-30,SWIR_B8A,31.49,Sentinel-2A L2A,2026-06-30_SWIR_B8A.png,0.08
