fecha,tipo,cobertura_nubosa,sensor,ruta_archivo,tamano_mb
2026-03-28,RGB,28.36,Sentinel-2B L2A,2026-03-28_RGB.png,0.73
2026-03-28,ThermalFalseColor,28.36,Sentinel-2B L2A,2026-03-28_ThermalFalseColor.png,0.64
2026-03-25,RGB,5.33,Sentinel-2A L2A,2026-03-25_RGB.png,0.98
2026-03-25,ThermalFalseColor,5.33,Sentinel-2A L2A,2026-03-25_ThermalFalseColor.png,0.79
2026-03-18,RGB,0.1,Sentinel-2B L2A,2026-03-18_RGB.png,0.91
2026-03-18,ThermalFalseColor,0.1,Sentinel-2B L2A,2026-03-18_ThermalFalseColor.png,0.76
2026-03-13,RGB,0.27,Sentinel-2C L2A,2026-03-13_RGB.png,0.91
2026-03-13,ThermalFalseColor,0.27,Sentinel-2C L2A,2026-03-13_ThermalFalseColor.png,0.77
2026-03-08,RGB,0.03,Sentinel-2B L2A,2026-03-08_RGB.png,0.91
2026-03-08,ThermalFalseColor,0.03,Sentinel-2B L2A,2026-03-08_ThermalFalseColor.png,0.76
2026-03-03,RGB,0.19,Sentinel-2C L2A,2026-03-03_RGB.png,0.91
2026-03-03,ThermalFalseColor,0.19,Sentinel-2C L2A,2026-03-03_ThermalFalseColor.png,0.76
2026-02-26,ThermalFalseColor,0.38,Sentinel-2B L2A,2026-02-26_ThermalFalseColor.png,0.76
2026-02-26,RGB,0.38,Sentinel-2B L2A,2026-02-26_RGB.png,0.92
2026-02-21,RGB,13.79,Sentinel-2C L2A,2026-02-21_RGB.png,0.81
2026-02-21,ThermalFalseColor,13.79,Sentinel-2C L2A,2026-02-21_ThermalFalseColor.png,0.69
2026-02-16,RGB,33.39,Sentinel-2B L2A,2026-02-16_RGB.png,0.89
2026-02-16,ThermalFalseColor,33.39,Sentinel-2B L2A,2026-02-16_ThermalFalseColor.png,0.75
2026-02-11,RGB,0.22,Sentinel-2C L2A,2026-02-11_RGB.png,0.9
2026-02-11,ThermalFalseColor,0.22,Sentinel-2C L2A,2026-02-11_ThermalFalseColor.png,0.75
2026-02-06,RGB,5.28,Sentinel-2B L2A,2026-02-06_RGB.png,0.88
2026-02-06,ThermalFalseColor,5.28,Sentinel-2B L2A,2026-02-06_ThermalFalseColor.png,0.73
2026-02-01,RGB,2.54,Sentinel-2C L2A,2026-02-01_RGB.png,0.86
2026-02-01,ThermalFalseColor,2.54,Sentinel-2C L2A,2026-02-01_ThermalFalseColor.png,0.74
