fecha,tipo,cobertura_nubosa,sensor,ruta_archivo,tamano_mb
2026-02-08,RGB,11.43,Sentinel-2B,RGB/2026-02-08_RGB.png,0.55
2026-02-08,ThermalFalseColor,11.43,Sentinel-2B,ThermalFalseColor/2026-02-08_ThermalFalseColor.png,0.39
2026-02-06,RGB,58.15,Sentinel-2B,RGB/2026-02-06_RGB.png,0.39
2026-02-06,ThermalFalseColor,58.15,Sentinel-2B,ThermalFalseColor/2026-02-06_ThermalFalseColor.png,0.31
2026-02-03,RGB,99.48,Sentinel-2B,RGB/2026-02-03_RGB.png,0.04
2026-02-03,ThermalFalseColor,99.48,Sentinel-2B,ThermalFalseColor/2026-02-03_ThermalFalseColor.png,0.15
2026-02-01,RGB,5.36,Sentinel-2B,RGB/2026-02-01_RGB.png,0.58
2026-02-01,ThermalFalseColor,5.36,Sentinel-2B,ThermalFalseColor/2026-02-01_ThermalFalseColor.png,0.41
2026-01-29,ThermalFalseColor,1.52,Sentinel-2B,ThermalFalseColor/2026-01-29_ThermalFalseColor.png,0.38
2026-01-29,RGB,1.52,Sentinel-2B,RGB/2026-01-29_RGB.png,0.54
2026-01-27,RGB,93.42,Sentinel-2B,RGB/2026-01-27_RGB.png,0.04
2026-01-27,ThermalFalseColor,93.42,Sentinel-2B,ThermalFalseColor/2026-01-27_ThermalFalseColor.png,0.14
2026-01-24,RGB,20.6,Sentinel-2B,RGB/2026-01-24_RGB.png,0.55
2026-01-24,ThermalFalseColor,20.6,Sentinel-2B,ThermalFalseColor/2026-01-24_ThermalFalseColor.png,0.4
2026-01-22,RGB,78.62,Sentinel-2B,RGB/2026-01-22_RGB.png,0.25
2026-01-22,ThermalFalseColor,78.62,Sentinel-2B,ThermalFalseColor/2026-01-22_ThermalFalseColor.png,0.27
2026-01-19,ThermalFalseColor,4.73,Sentinel-2B,ThermalFalseColor/2026-01-19_ThermalFalseColor.png,0.39
2026-01-19,RGB,4.73,Sentinel-2B,RGB/2026-01-19_RGB.png,0.54
2026-01-17,RGB,11.55,Sentinel-2B,RGB/2026-01-17_RGB.png,0.56
2026-01-17,ThermalFalseColor,11.55,Sentinel-2B,ThermalFalseColor/2026-01-17_ThermalFalseColor.png,0.39
2026-01-12,RGB,97.85,Sentinel-2B,RGB/2026-01-12_RGB.png,0.29
2026-01-12,ThermalFalseColor,97.85,Sentinel-2B,ThermalFalseColor/2026-01-12_ThermalFalseColor.png,0.27
2026-01-11,RGB,79.7,Sentinel-2B,RGB/2026-01-11_RGB.png,0.0
2026-01-11,ThermalFalseColor,79.7,Sentinel-2B,ThermalFalseColor/2026-01-11_ThermalFalseColor.png,0.1
2026-01-09,RGB,0.0,Sentinel-2B,RGB/2026-01-09_RGB.png,0.54
2026-01-09,ThermalFalseColor,0.0,Sentinel-2B,ThermalFalseColor/2026-01-09_ThermalFalseColor.png,0.38
2026-01-07,RGB,0.43,Sentinel-2B,RGB/2026-01-07_RGB.png,0.52
2026-01-07,ThermalFalseColor,0.43,Sentinel-2B,ThermalFalseColor/2026-01-07_ThermalFalseColor.png,0.37
2026-01-04,RGB,0.0,Sentinel-2B,RGB/2026-01-04_RGB.png,0.52
2026-01-04,ThermalFalseColor,0.0,Sentinel-2B,ThermalFalseColor/2026-01-04_ThermalFalseColor.png,0.38
2026-01-02,RGB,5.15,Sentinel-2B,RGB/2026-01-02_RGB.png,0.51
2026-01-02,ThermalFalseColor,5.15,Sentinel-2B,ThermalFalseColor/2026-01-02_ThermalFalseColor.png,0.37
