fecha,tipo,cobertura_nubosa,sensor,ruta_archivo,tamano_mb
2026-07-26,RGB,98.85,Sentinel-2B L2A,2026-07-26_RGB.png,0.0
2026-07-26,ThermalFalseColor,98.85,Sentinel-2B L2A,2026-07-26_ThermalFalseColor.png,0.04
2026-07-26,SWIR_B8A,98.85,Sentinel-2B L2A,2026-07-26_SWIR_B8A.png,0.04
2026-07-23,RGB,99.94,Sentinel-2A L2A,2026-07-23_RGB.png,0.0
2026-07-23,ThermalFalseColor,99.94,Sentinel-2A L2A,2026-07-23_ThermalFalseColor.png,0.04
2026-07-23,SWIR_B8A,99.94,Sentinel-2A L2A,2026-07-23_SWIR_B8A.png,0.04
2026-07-21,SWIR_B8A,96.49,Sentinel-2C L2A,2026-07-21_SWIR_B8A.png,0.04
2026-07-21,RGB,96.49,Sentinel-2C L2A,2026-07-21_RGB.png,0.0
2026-07-21,ThermalFalseColor,96.49,Sentinel-2C L2A,2026-07-21_ThermalFalseColor.png,0.04
2026-07-18,RGB,95.87,Sentinel-2C L2A,2026-07-18_RGB.png,0.03
2026-07-18,ThermalFalseColor,95.87,Sentinel-2C L2A,2026-07-18_ThermalFalseColor.png,0.04
2026-07-18,SWIR_B8A,95.87,Sentinel-2C L2A,2026-07-18_SWIR_B8A.png,0.04
2026-07-16,RGB,94.96,Sentinel-2B L2A,2026-07-16_RGB.png,0.0
2026-07-16,ThermalFalseColor,94.96,Sentinel-2B L2A,2026-07-16_ThermalFalseColor.png,0.04
2026-07-16,SWIR_B8A,94.96,Sentinel-2B L2A,2026-07-16_SWIR_B8A.png,0.04
2026-07-13,RGB,43.92,Sentinel-2B L2A,2026-07-13_RGB.png,0.06
2026-07-13,ThermalFalseColor,43.92,Sentinel-2B L2A,2026-07-13_ThermalFalseColor.png,0.06
2026-07-13,SWIR_B8A,43.92,Sentinel-2B L2A,2026-07-13_SWIR_B8A.png,0.05
2026-07-11,ThermalFalseColor,0.28,Sentinel-2C L2A,2026-07-11_ThermalFalseColor.png,0.08
2026-07-11,RGB,0.28,Sentinel-2C L2A,2026-07-11_RGB.png,0.09
2026-07-11,SWIR_B8A,0.28,Sentinel-2C L2A,2026-07-11_SWIR_B8A.png,0.06
2026-07-08,RGB,90.86,Sentinel-2C L2A,2026-07-08_RGB.png,0.0
2026-07-08,ThermalFalseColor,90.86,Sentinel-2C L2A,2026-07-08_ThermalFalseColor.png,0.04
2026-07-08,SWIR_B8A,90.86,Sentinel-2C L2A,2026-07-08_SWIR_B8A.png,0.04
2026-07-06,RGB,63.41,Sentinel-2B L2A,2026-07-06_RGB.png,0.13
2026-07-06,SWIR_B8A,63.41,Sentinel-2B L2A,2026-07-06_SWIR_B8A.png,0.06
2026-07-06,ThermalFalseColor,63.41,Sentinel-2B L2A,2026-07-06_ThermalFalseColor.png,0.08
2026-07-03,RGB,0.08,Sentinel-2A L2A,2026-07-03_RGB.png,0.2
