fecha,tipo,cobertura_nubosa,sensor,ruta_archivo,tamano_mb
2026-07-28,RGB,98.91,Sentinel-2C L2A,2026-07-28_RGB.png,0.21
2026-07-28,ThermalFalseColor,98.91,Sentinel-2C L2A,2026-07-28_ThermalFalseColor.png,0.6
2026-07-28,SWIR_B8A,98.91,Sentinel-2C L2A,2026-07-28_SWIR_B8A.png,0.61
2026-07-26,RGB,98.84,Sentinel-2B L2A,2026-07-26_RGB.png,0.16
2026-07-26,ThermalFalseColor,98.84,Sentinel-2B L2A,2026-07-26_ThermalFalseColor.png,0.59
2026-07-26,SWIR_B8A,98.84,Sentinel-2B L2A,2026-07-26_SWIR_B8A.png,0.6
2026-07-23,SWIR_B8A,99.15,Sentinel-2A L2A,2026-07-23_SWIR_B8A.png,0.6
2026-07-23,RGB,99.15,Sentinel-2A L2A,2026-07-23_RGB.png,0.13
2026-07-23,ThermalFalseColor,99.15,Sentinel-2A L2A,2026-07-23_ThermalFalseColor.png,0.6
2026-07-21,RGB,51.86,Sentinel-2C L2A,2026-07-21_RGB.png,0.99
2026-07-21,ThermalFalseColor,51.86,Sentinel-2C L2A,2026-07-21_ThermalFalseColor.png,1.03
2026-07-21,SWIR_B8A,51.86,Sentinel-2C L2A,2026-07-21_SWIR_B8A.png,1.09
2026-07-18,RGB,96.73,Sentinel-2C L2A,2026-07-18_RGB.png,0.31
2026-07-18,ThermalFalseColor,96.73,Sentinel-2C L2A,2026-07-18_ThermalFalseColor.png,0.69
2026-07-18,SWIR_B8A,96.73,Sentinel-2C L2A,2026-07-18_SWIR_B8A.png,0.69
2026-07-16,RGB,99.48,Sentinel-2B L2A,2026-07-16_RGB.png,0.3
2026-07-16,ThermalFalseColor,99.48,Sentinel-2B L2A,2026-07-16_ThermalFalseColor.png,0.59
2026-07-16,SWIR_B8A,99.48,Sentinel-2B L2A,2026-07-16_SWIR_B8A.png,0.6
2026-07-13,RGB,99.95,Sentinel-2B L2A,2026-07-13_RGB.png,0.09
2026-07-13,ThermalFalseColor,99.95,Sentinel-2B L2A,2026-07-13_ThermalFalseColor.png,0.49
2026-07-13,SWIR_B8A,99.95,Sentinel-2B L2A,2026-07-13_SWIR_B8A.png,0.49
2026-07-11,ThermalFalseColor,4.83,Sentinel-2C L2A,2026-07-11_ThermalFalseColor.png,0.96
2026-07-11,RGB,4.83,Sentinel-2C L2A,2026-07-11_RGB.png,1.05
2026-07-11,SWIR_B8A,4.83,Sentinel-2C L2A,2026-07-11_SWIR_B8A.png,1.01
2026-07-08,SWIR_B8A,94.6,Sentinel-2C L2A,2026-07-08_SWIR_B8A.png,0.65
2026-07-08,RGB,94.6,Sentinel-2C L2A,2026-07-08_RGB.png,0.31
2026-07-08,ThermalFalseColor,94.6,Sentinel-2C L2A,2026-07-08_ThermalFalseColor.png,0.64
2026-07-06,ThermalFalseColor,98.79,Sentinel-2B L2A,2026-07-06_ThermalFalseColor.png,0.63
2026-07-06,RGB,98.79,Sentinel-2B L2A,2026-07-06_RGB.png,0.38
2026-07-06,SWIR_B8A,98.79,Sentinel-2B L2A,2026-07-06_SWIR_B8A.png,0.63
2026-07-03,ThermalFalseColor,5.49,Sentinel-2A L2A,2026-07-03_ThermalFalseColor.png,1.05
2026-07-03,SWIR_B8A,5.49,Sentinel-2A L2A,2026-07-03_SWIR_B8A.png,1.1
2026-07-03,RGB,5.49,Sentinel-2A L2A,2026-07-03_RGB.png,0.98
2026-07-01,SWIR_B8A,4.21,Sentinel-2C L2A,2026-07-01_SWIR_B8A.png,1.13
2026-07-01,ThermalFalseColor,4.21,Sentinel-2C L2A,2026-07-01_ThermalFalseColor.png,1.09
2026-07-01,RGB,4.21,Sentinel-2C L2A,2026-07-01_RGB.png,1.07
2026-06-30,ThermalFalseColor,95.79,Sentinel-2A L2A,2026-06-30_ThermalFalseColor.png,0.79
2026-06-30,SWIR_B8A,95.79,Sentinel-2A L2A,2026-06-30_SWIR_B8A.png,0.81
2026-06-30,RGB,95.79,Sentinel-2A L2A,2026-06-30_RGB.png,0.53
2026-06-28,SWIR_B8A,46.84,Sentinel-2C L2A,2026-06-28_SWIR_B8A.png,0.89
2026-06-28,RGB,46.84,Sentinel-2C L2A,2026-06-28_RGB.png,0.64
2026-06-28,ThermalFalseColor,46.84,Sentinel-2C L2A,2026-06-28_ThermalFalseColor.png,0.9
2026-06-26,RGB,94.69,Sentinel-2B L2A,2026-06-26_RGB.png,0.37
2026-06-26,SWIR_B8A,94.69,Sentinel-2B L2A,2026-06-26_SWIR_B8A.png,0.78
