fecha,tipo,cobertura_nubosa,sensor,ruta_archivo,tamano_mb
2026-02-03,RGB,99.69,Sentinel-2B,RGB/2026-02-03_RGB.png,0.0
2026-02-03,ThermalFalseColor,99.69,Sentinel-2B,ThermalFalseColor/2026-02-03_ThermalFalseColor.png,0.0
2026-02-01,RGB,2.27,Sentinel-2B,RGB/2026-02-01_RGB.png,0.96
2026-02-01,ThermalFalseColor,2.27,Sentinel-2B,ThermalFalseColor/2026-02-01_ThermalFalseColor.png,1.12
2026-01-29,RGB,0.03,Sentinel-2B,RGB/2026-01-29_RGB.png,0.94
2026-01-29,ThermalFalseColor,0.03,Sentinel-2B,ThermalFalseColor/2026-01-29_ThermalFalseColor.png,1.09
2026-01-27,RGB,24.18,Sentinel-2B,RGB/2026-01-27_RGB.png,1.08
2026-01-27,ThermalFalseColor,24.18,Sentinel-2B,ThermalFalseColor/2026-01-27_ThermalFalseColor.png,1.16
2026-01-24,RGB,11.45,Sentinel-2B,RGB/2026-01-24_RGB.png,0.94
2026-01-24,ThermalFalseColor,11.45,Sentinel-2B,ThermalFalseColor/2026-01-24_ThermalFalseColor.png,1.1
2026-01-22,RGB,4.19,Sentinel-2B,RGB/2026-01-22_RGB.png,0.89
2026-01-22,ThermalFalseColor,4.19,Sentinel-2B,ThermalFalseColor/2026-01-22_ThermalFalseColor.png,1.08
2026-01-19,ThermalFalseColor,0.0,Sentinel-2B,ThermalFalseColor/2026-01-19_ThermalFalseColor.png,1.08
2026-01-19,RGB,0.0,Sentinel-2B,RGB/2026-01-19_RGB.png,0.94
2026-01-17,RGB,0.75,Sentinel-2B,RGB/2026-01-17_RGB.png,0.88
2026-01-17,ThermalFalseColor,0.75,Sentinel-2B,ThermalFalseColor/2026-01-17_ThermalFalseColor.png,1.04
2026-01-12,RGB,87.89,Sentinel-2B,RGB/2026-01-12_RGB.png,0.0
2026-01-12,ThermalFalseColor,87.89,Sentinel-2B,ThermalFalseColor/2026-01-12_ThermalFalseColor.png,0.0
2026-01-11,RGB,5.49,Sentinel-2B,RGB/2026-01-11_RGB.png,1.01
2026-01-11,ThermalFalseColor,5.49,Sentinel-2B,ThermalFalseColor/2026-01-11_ThermalFalseColor.png,1.14
2026-01-09,RGB,0.01,Sentinel-2B,RGB/2026-01-09_RGB.png,0.94
2026-01-09,ThermalFalseColor,0.01,Sentinel-2B,ThermalFalseColor/2026-01-09_ThermalFalseColor.png,1.08
2026-01-07,RGB,0.38,Sentinel-2B,RGB/2026-01-07_RGB.png,0.88
2026-01-07,ThermalFalseColor,0.38,Sentinel-2B,ThermalFalseColor/2026-01-07_ThermalFalseColor.png,1.04
2026-01-04,ThermalFalseColor,0.0,Sentinel-2B,ThermalFalseColor/2026-01-04_ThermalFalseColor.png,1.09
2026-01-04,RGB,0.0,Sentinel-2B,RGB/2026-01-04_RGB.png,0.94
2026-01-02,RGB,0.0,Sentinel-2B,RGB/2026-01-02_RGB.png,0.89
2026-01-02,ThermalFalseColor,0.0,Sentinel-2B,ThermalFalseColor/2026-01-02_ThermalFalseColor.png,1.07
2025-12-30,RGB,0.83,Sentinel-2B,RGB/2025-12-30_RGB.png,0.96
2025-12-30,ThermalFalseColor,0.83,Sentinel-2B,ThermalFalseColor/2025-12-30_ThermalFalseColor.png,1.09
2025-12-28,RGB,0.71,Sentinel-2B,RGB/2025-12-28_RGB.png,0.9
2025-12-28,ThermalFalseColor,0.71,Sentinel-2B,ThermalFalseColor/2025-12-28_ThermalFalseColor.png,1.05
2025-12-25,RGB,2.81,Sentinel-2B,RGB/2025-12-25_RGB.png,0.89
2025-12-25,ThermalFalseColor,2.81,Sentinel-2B,ThermalFalseColor/2025-12-25_ThermalFalseColor.png,1.01
2025-12-23,RGB,65.51,Sentinel-2B,RGB/2025-12-23_RGB.png,0.0
2025-12-23,ThermalFalseColor,65.51,Sentinel-2B,ThermalFalseColor/2025-12-23_ThermalFalseColor.png,0.0
2025-12-22,ThermalFalseColor,25.43,Sentinel-2B,ThermalFalseColor/2025-12-22_ThermalFalseColor.png,1.12
2025-12-22,RGB,25.43,Sentinel-2B,RGB/2025-12-22_RGB.png,1.04
2025-12-20,RGB,97.73,Sentinel-2B,RGB/2025-12-20_RGB.png,0.0
2025-12-20,ThermalFalseColor,97.73,Sentinel-2B,ThermalFalseColor/2025-12-20_ThermalFalseColor.png,0.0
2025-12-18,RGB,0.68,Sentinel-2B,RGB/2025-12-18_RGB.png,0.91
2025-12-18,ThermalFalseColor,0.68,Sentinel-2B,ThermalFalseColor/2025-12-18_ThermalFalseColor.png,1.05
2025-12-15,RGB,98.36,Sentinel-2B,RGB/2025-12-15_RGB.png,0.0
2025-12-15,ThermalFalseColor,98.36,Sentinel-2B,ThermalFalseColor/2025-12-15_ThermalFalseColor.png,0.0
2025-12-13,RGB,85.42,Sentinel-2B,RGB/2025-12-13_RGB.png,0.0
2025-12-13,ThermalFalseColor,85.42,Sentinel-2B,ThermalFalseColor/2025-12-13_ThermalFalseColor.png,0.0
2025-12-10,RGB,26.92,Sentinel-2B,RGB/2025-12-10_RGB.png,1.08
2025-12-10,ThermalFalseColor,26.92,Sentinel-2B,ThermalFalseColor/2025-12-10_ThermalFalseColor.png,1.19
