fecha,tipo,cobertura_nubosa,sensor,ruta_archivo,tamano_mb
2026-02-06,RGB,0.0,Sentinel-2B,RGB/2026-02-06_RGB.png,1.25
2026-02-06,ThermalFalseColor,0.0,Sentinel-2B,ThermalFalseColor/2026-02-06_ThermalFalseColor.png,1.3
2026-02-03,RGB,7.82,Sentinel-2B,RGB/2026-02-03_RGB.png,1.11
2026-02-03,ThermalFalseColor,7.82,Sentinel-2B,ThermalFalseColor/2026-02-03_ThermalFalseColor.png,1.21
2026-02-01,ThermalFalseColor,99.63,Sentinel-2B,ThermalFalseColor/2026-02-01_ThermalFalseColor.png,0.0
2026-02-01,RGB,99.63,Sentinel-2B,RGB/2026-02-01_RGB.png,0.0
2026-01-29,RGB,8.48,Sentinel-2B,RGB/2026-01-29_RGB.png,1.32
2026-01-29,ThermalFalseColor,8.48,Sentinel-2B,ThermalFalseColor/2026-01-29_ThermalFalseColor.png,1.33
2026-01-27,RGB,8.15,Sentinel-2B,RGB/2026-01-27_RGB.png,1.21
2026-01-27,ThermalFalseColor,8.15,Sentinel-2B,ThermalFalseColor/2026-01-27_ThermalFalseColor.png,1.28
2026-01-24,RGB,30.52,Sentinel-2B,RGB/2026-01-24_RGB.png,1.31
2026-01-24,ThermalFalseColor,30.52,Sentinel-2B,ThermalFalseColor/2026-01-24_ThermalFalseColor.png,1.34
2026-01-22,ThermalFalseColor,17.08,Sentinel-2B,ThermalFalseColor/2026-01-22_ThermalFalseColor.png,1.32
2026-01-22,RGB,17.08,Sentinel-2B,RGB/2026-01-22_RGB.png,1.29
2026-01-19,RGB,0.12,Sentinel-2B,RGB/2026-01-19_RGB.png,1.3
2026-01-19,ThermalFalseColor,0.12,Sentinel-2B,ThermalFalseColor/2026-01-19_ThermalFalseColor.png,1.32
2026-01-17,ThermalFalseColor,0.59,Sentinel-2B,ThermalFalseColor/2026-01-17_ThermalFalseColor.png,1.3
2026-01-17,RGB,0.59,Sentinel-2B,RGB/2026-01-17_RGB.png,1.26
2026-01-14,RGB,6.46,Sentinel-2B,RGB/2026-01-14_RGB.png,1.19
2026-01-14,ThermalFalseColor,6.46,Sentinel-2B,ThermalFalseColor/2026-01-14_ThermalFalseColor.png,1.28
2026-01-12,RGB,20.98,Sentinel-2B,RGB/2026-01-12_RGB.png,0.91
2026-01-12,ThermalFalseColor,20.98,Sentinel-2B,ThermalFalseColor/2026-01-12_ThermalFalseColor.png,1.06
2026-01-11,RGB,4.91,Sentinel-2B,RGB/2026-01-11_RGB.png,1.14
2026-01-11,ThermalFalseColor,4.91,Sentinel-2B,ThermalFalseColor/2026-01-11_ThermalFalseColor.png,1.27
2026-01-09,RGB,41.53,Sentinel-2B,RGB/2026-01-09_RGB.png,0.57
2026-01-09,ThermalFalseColor,41.53,Sentinel-2B,ThermalFalseColor/2026-01-09_ThermalFalseColor.png,1.02
2026-01-07,RGB,4.91,Sentinel-2B,RGB/2026-01-07_RGB.png,1.31
2026-01-07,ThermalFalseColor,4.91,Sentinel-2B,ThermalFalseColor/2026-01-07_ThermalFalseColor.png,1.33
2026-01-04,RGB,2.7,Sentinel-2B,RGB/2026-01-04_RGB.png,1.33
2026-01-04,ThermalFalseColor,2.7,Sentinel-2B,ThermalFalseColor/2026-01-04_ThermalFalseColor.png,1.34
2026-01-02,RGB,0.01,Sentinel-2B,RGB/2026-01-02_RGB.png,1.33
2026-01-02,ThermalFalseColor,0.01,Sentinel-2B,ThermalFalseColor/2026-01-02_ThermalFalseColor.png,1.34
2025-12-30,RGB,29.44,Sentinel-2B,RGB/2025-12-30_RGB.png,1.33
2025-12-30,ThermalFalseColor,29.44,Sentinel-2B,ThermalFalseColor/2025-12-30_ThermalFalseColor.png,1.34
2025-12-28,ThermalFalseColor,1.09,Sentinel-2B,ThermalFalseColor/2025-12-28_ThermalFalseColor.png,1.33
2025-12-28,RGB,1.09,Sentinel-2B,RGB/2025-12-28_RGB.png,1.32
2025-12-25,ThermalFalseColor,2.5,Sentinel-2B,ThermalFalseColor/2025-12-25_ThermalFalseColor.png,1.32
2025-12-25,RGB,2.5,Sentinel-2B,RGB/2025-12-25_RGB.png,1.3
2025-12-23,ThermalFalseColor,0.02,Sentinel-2B,ThermalFalseColor/2025-12-23_ThermalFalseColor.png,1.33
2025-12-23,RGB,0.02,Sentinel-2B,RGB/2025-12-23_RGB.png,1.26
2025-12-22,RGB,28.12,Sentinel-2B,RGB/2025-12-22_RGB.png,1.03
2025-12-22,ThermalFalseColor,28.12,Sentinel-2B,ThermalFalseColor/2025-12-22_ThermalFalseColor.png,1.14
2025-12-20,ThermalFalseColor,8.45,Sentinel-2B,ThermalFalseColor/2025-12-20_ThermalFalseColor.png,1.23
2025-12-20,RGB,8.45,Sentinel-2B,RGB/2025-12-20_RGB.png,1.11
2025-12-18,ThermalFalseColor,0.08,Sentinel-2B,ThermalFalseColor/2025-12-18_ThermalFalseColor.png,1.31
2025-12-18,RGB,0.08,Sentinel-2B,RGB/2025-12-18_RGB.png,1.25
