fecha,tipo,cobertura_nubosa,sensor,ruta_archivo,tamano_mb
2026-02-06,RGB,1.94,Sentinel-2B,RGB/2026-02-06_RGB.png,0.52
2026-02-06,ThermalFalseColor,1.94,Sentinel-2B,ThermalFalseColor/2026-02-06_ThermalFalseColor.png,0.38
2026-02-01,RGB,2.91,Sentinel-2B,RGB/2026-02-01_RGB.png,0.5
2026-02-01,ThermalFalseColor,2.91,Sentinel-2B,ThermalFalseColor/2026-02-01_ThermalFalseColor.png,0.37
2026-01-27,RGB,4.8,Sentinel-2B,RGB/2026-01-27_RGB.png,0.37
2026-01-27,ThermalFalseColor,4.8,Sentinel-2B,ThermalFalseColor/2026-01-27_ThermalFalseColor.png,0.31
2026-01-22,RGB,79.24,Sentinel-2B,RGB/2026-01-22_RGB.png,0.0
2026-01-22,ThermalFalseColor,79.24,Sentinel-2B,ThermalFalseColor/2026-01-22_ThermalFalseColor.png,0.0
2026-01-17,RGB,9.33,Sentinel-2B,RGB/2026-01-17_RGB.png,0.5
2026-01-17,ThermalFalseColor,9.33,Sentinel-2B,ThermalFalseColor/2026-01-17_ThermalFalseColor.png,0.36
2026-01-12,RGB,1.08,Sentinel-2B,RGB/2026-01-12_RGB.png,0.6
2026-01-12,ThermalFalseColor,1.08,Sentinel-2B,ThermalFalseColor/2026-01-12_ThermalFalseColor.png,0.42
2026-01-07,ThermalFalseColor,1.92,Sentinel-2B,ThermalFalseColor/2026-01-07_ThermalFalseColor.png,0.43
2026-01-07,RGB,1.92,Sentinel-2B,RGB/2026-01-07_RGB.png,0.6
2026-01-02,RGB,13.96,Sentinel-2B,RGB/2026-01-02_RGB.png,0.62
2026-01-02,ThermalFalseColor,13.96,Sentinel-2B,ThermalFalseColor/2026-01-02_ThermalFalseColor.png,0.44
2025-12-28,RGB,52.47,Sentinel-2B,RGB/2025-12-28_RGB.png,0.0
2025-12-28,ThermalFalseColor,52.47,Sentinel-2B,ThermalFalseColor/2025-12-28_ThermalFalseColor.png,0.0
2025-12-25,RGB,12.71,Sentinel-2B,RGB/2025-12-25_RGB.png,0.58
2025-12-25,ThermalFalseColor,12.71,Sentinel-2B,ThermalFalseColor/2025-12-25_ThermalFalseColor.png,0.4
2025-12-23,RGB,3.78,Sentinel-2B,RGB/2025-12-23_RGB.png,0.59
2025-12-23,ThermalFalseColor,3.78,Sentinel-2B,ThermalFalseColor/2025-12-23_ThermalFalseColor.png,0.43
2025-12-18,RGB,0.19,Sentinel-2B,RGB/2025-12-18_RGB.png,0.6
2025-12-18,ThermalFalseColor,0.19,Sentinel-2B,ThermalFalseColor/2025-12-18_ThermalFalseColor.png,0.43
2025-12-13,RGB,1.56,Sentinel-2B,RGB/2025-12-13_RGB.png,0.59
2025-12-13,ThermalFalseColor,1.56,Sentinel-2B,ThermalFalseColor/2025-12-13_ThermalFalseColor.png,0.43
