fecha,tipo,cobertura_nubosa,sensor,ruta_archivo,tamano_mb
2026-03-30,RGB,0.24,Sentinel-2C L2A,2026-03-30_RGB.png,1.12
2026-03-30,ThermalFalseColor,0.24,Sentinel-2C L2A,2026-03-30_ThermalFalseColor.png,0.81
2026-03-28,RGB,1.95,Sentinel-2B L2A,2026-03-28_RGB.png,1.04
2026-03-28,ThermalFalseColor,1.95,Sentinel-2B L2A,2026-03-28_ThermalFalseColor.png,0.77
2026-03-25,RGB,0.75,Sentinel-2B L2A,2026-03-25_RGB.png,0.78
2026-03-25,ThermalFalseColor,0.75,Sentinel-2B L2A,2026-03-25_ThermalFalseColor.png,0.66
2026-03-22,RGB,88.0,Sentinel-2A L2A,2026-03-22_RGB.png,0.17
2026-03-22,ThermalFalseColor,88.0,Sentinel-2A L2A,2026-03-22_ThermalFalseColor.png,0.39
2026-03-20,RGB,56.5,Sentinel-2C L2A,2026-03-20_RGB.png,0.52
2026-03-20,ThermalFalseColor,56.5,Sentinel-2C L2A,2026-03-20_ThermalFalseColor.png,0.57
2026-03-18,RGB,48.3,Sentinel-2B L2A,2026-03-18_RGB.png,0.81
2026-03-18,ThermalFalseColor,48.3,Sentinel-2B L2A,2026-03-18_ThermalFalseColor.png,0.64
2026-03-15,RGB,94.06,Sentinel-2B L2A,2026-03-15_RGB.png,0.0
2026-03-15,ThermalFalseColor,94.06,Sentinel-2B L2A,2026-03-15_ThermalFalseColor.png,0.31
