fecha,tipo,cobertura_nubosa,sensor,ruta_archivo,tamano_mb
2026-03-30,RGB,3.93,Sentinel-2C L2A,2026-03-30_RGB.png,0.94
2026-03-30,ThermalFalseColor,3.93,Sentinel-2C L2A,2026-03-30_ThermalFalseColor.png,0.79
2026-03-28,RGB,0.0,Sentinel-2B L2A,2026-03-28_RGB.png,0.87
2026-03-28,ThermalFalseColor,0.0,Sentinel-2B L2A,2026-03-28_ThermalFalseColor.png,0.76
2026-03-25,RGB,16.88,Sentinel-2B L2A,2026-03-25_RGB.png,0.74
2026-03-25,ThermalFalseColor,16.88,Sentinel-2B L2A,2026-03-25_ThermalFalseColor.png,0.7
2026-03-22,RGB,65.44,Sentinel-2A L2A,2026-03-22_RGB.png,0.0
2026-03-22,ThermalFalseColor,65.44,Sentinel-2A L2A,2026-03-22_ThermalFalseColor.png,0.23
2026-03-20,RGB,64.5,Sentinel-2C L2A,2026-03-20_RGB.png,0.47
2026-03-20,ThermalFalseColor,64.5,Sentinel-2C L2A,2026-03-20_ThermalFalseColor.png,0.52
2026-03-18,ThermalFalseColor,0.0,Sentinel-2B L2A,2026-03-18_ThermalFalseColor.png,0.82
2026-03-18,RGB,0.0,Sentinel-2B L2A,2026-03-18_RGB.png,1.04
2026-03-15,RGB,22.41,Sentinel-2B L2A,2026-03-15_RGB.png,0.95
2026-03-15,ThermalFalseColor,22.41,Sentinel-2B L2A,2026-03-15_ThermalFalseColor.png,0.79
2026-03-13,RGB,0.91,Sentinel-2C L2A,2026-03-13_RGB.png,1.01
2026-03-13,ThermalFalseColor,0.91,Sentinel-2C L2A,2026-03-13_ThermalFalseColor.png,0.82
2026-03-12,RGB,22.85,Sentinel-2A L2A,2026-03-12_RGB.png,1.01
2026-03-12,ThermalFalseColor,22.85,Sentinel-2A L2A,2026-03-12_ThermalFalseColor.png,0.81
2026-03-10,RGB,19.3,Sentinel-2C L2A,2026-03-10_RGB.png,0.98
2026-03-10,ThermalFalseColor,19.3,Sentinel-2C L2A,2026-03-10_ThermalFalseColor.png,0.8
2026-03-08,ThermalFalseColor,14.06,Sentinel-2B L2A,2026-03-08_ThermalFalseColor.png,0.67
2026-03-08,RGB,14.06,Sentinel-2B L2A,2026-03-08_RGB.png,0.61
2026-03-05,RGB,31.34,Sentinel-2B L2A,2026-03-05_RGB.png,1.02
2026-03-05,ThermalFalseColor,31.34,Sentinel-2B L2A,2026-03-05_ThermalFalseColor.png,0.81
2026-03-03,RGB,0.24,Sentinel-2C L2A,2026-03-03_RGB.png,1.01
2026-03-03,ThermalFalseColor,0.24,Sentinel-2C L2A,2026-03-03_ThermalFalseColor.png,0.81
2026-02-28,RGB,5.27,Sentinel-2C L2A,2026-02-28_RGB.png,1.01
2026-02-28,ThermalFalseColor,5.27,Sentinel-2C L2A,2026-02-28_ThermalFalseColor.png,0.8
2026-02-26,RGB,4.7,Sentinel-2B L2A,2026-02-26_RGB.png,0.57
2026-02-26,ThermalFalseColor,4.7,Sentinel-2B L2A,2026-02-26_ThermalFalseColor.png,0.49
2026-02-23,ThermalFalseColor,5.26,Sentinel-2B L2A,2026-02-23_ThermalFalseColor.png,0.79
2026-02-23,RGB,5.26,Sentinel-2B L2A,2026-02-23_RGB.png,0.99
2026-02-21,RGB,7.66,Sentinel-2C L2A,2026-02-21_RGB.png,0.97
2026-02-21,ThermalFalseColor,7.66,Sentinel-2C L2A,2026-02-21_ThermalFalseColor.png,0.79
2026-02-18,RGB,12.74,Sentinel-2C L2A,2026-02-18_RGB.png,0.96
2026-02-18,ThermalFalseColor,12.74,Sentinel-2C L2A,2026-02-18_ThermalFalseColor.png,0.78
2026-02-16,RGB,0.11,Sentinel-2B L2A,2026-02-16_RGB.png,0.93
2026-02-16,ThermalFalseColor,0.11,Sentinel-2B L2A,2026-02-16_ThermalFalseColor.png,0.77
2026-02-13,RGB,24.4,Sentinel-2B L2A,2026-02-13_RGB.png,0.03
2026-02-13,ThermalFalseColor,24.4,Sentinel-2B L2A,2026-02-13_ThermalFalseColor.png,0.02
2026-02-11,RGB,0.94,Sentinel-2C L2A,2026-02-11_RGB.png,0.89
2026-02-11,ThermalFalseColor,0.94,Sentinel-2C L2A,2026-02-11_ThermalFalseColor.png,0.76
