fecha,tipo,cobertura_nubosa,sensor,ruta_archivo,tamano_mb
2026-02-11,RGB,99.88,Sentinel-2B,RGB/2026-02-11_RGB.png,0.0
2026-02-11,ThermalFalseColor,99.88,Sentinel-2B,ThermalFalseColor/2026-02-11_ThermalFalseColor.png,0.04
2026-02-08,RGB,15.08,Sentinel-2B,RGB/2026-02-08_RGB.png,0.45
2026-02-08,ThermalFalseColor,15.08,Sentinel-2B,ThermalFalseColor/2026-02-08_ThermalFalseColor.png,0.33
2026-02-06,RGB,86.36,Sentinel-2B,RGB/2026-02-06_RGB.png,0.19
2026-02-06,ThermalFalseColor,86.36,Sentinel-2B,ThermalFalseColor/2026-02-06_ThermalFalseColor.png,0.21
2026-02-03,ThermalFalseColor,97.74,Sentinel-2B,ThermalFalseColor/2026-02-03_ThermalFalseColor.png,0.11
2026-02-03,RGB,97.74,Sentinel-2B,RGB/2026-02-03_RGB.png,0.0
2026-02-01,ThermalFalseColor,2.04,Sentinel-2B,ThermalFalseColor/2026-02-01_ThermalFalseColor.png,0.43
2026-02-01,RGB,2.04,Sentinel-2B,RGB/2026-02-01_RGB.png,0.59
2026-01-29,RGB,0.11,Sentinel-2B,RGB/2026-01-29_RGB.png,0.6
2026-01-29,ThermalFalseColor,0.11,Sentinel-2B,ThermalFalseColor/2026-01-29_ThermalFalseColor.png,0.42
2026-01-27,RGB,98.92,Sentinel-2B,RGB/2026-01-27_RGB.png,0.0
2026-01-27,ThermalFalseColor,98.92,Sentinel-2B,ThermalFalseColor/2026-01-27_ThermalFalseColor.png,0.09
2026-01-24,RGB,26.84,Sentinel-2B,RGB/2026-01-24_RGB.png,0.46
2026-01-24,ThermalFalseColor,26.84,Sentinel-2B,ThermalFalseColor/2026-01-24_ThermalFalseColor.png,0.37
2026-01-22,RGB,80.04,Sentinel-2B,RGB/2026-01-22_RGB.png,0.07
2026-01-22,ThermalFalseColor,80.04,Sentinel-2B,ThermalFalseColor/2026-01-22_ThermalFalseColor.png,0.19
2026-01-19,RGB,1.84,Sentinel-2B,RGB/2026-01-19_RGB.png,0.6
2026-01-19,ThermalFalseColor,1.84,Sentinel-2B,ThermalFalseColor/2026-01-19_ThermalFalseColor.png,0.43
2026-01-17,RGB,63.63,Sentinel-2B,RGB/2026-01-17_RGB.png,0.31
2026-01-17,ThermalFalseColor,63.63,Sentinel-2B,ThermalFalseColor/2026-01-17_ThermalFalseColor.png,0.26
2026-01-12,ThermalFalseColor,94.41,Sentinel-2B,ThermalFalseColor/2026-01-12_ThermalFalseColor.png,0.17
2026-01-12,RGB,94.41,Sentinel-2B,RGB/2026-01-12_RGB.png,0.01
2026-01-11,RGB,62.42,Sentinel-2B,RGB/2026-01-11_RGB.png,0.01
2026-01-11,ThermalFalseColor,62.42,Sentinel-2B,ThermalFalseColor/2026-01-11_ThermalFalseColor.png,0.03
2026-01-09,RGB,0.69,Sentinel-2B,RGB/2026-01-09_RGB.png,0.59
2026-01-09,ThermalFalseColor,0.69,Sentinel-2B,ThermalFalseColor/2026-01-09_ThermalFalseColor.png,0.43
2026-01-07,RGB,2.74,Sentinel-2B,RGB/2026-01-07_RGB.png,0.57
2026-01-07,ThermalFalseColor,2.74,Sentinel-2B,ThermalFalseColor/2026-01-07_ThermalFalseColor.png,0.41
2026-01-04,ThermalFalseColor,0.03,Sentinel-2B,ThermalFalseColor/2026-01-04_ThermalFalseColor.png,0.42
2026-01-04,RGB,0.03,Sentinel-2B,RGB/2026-01-04_RGB.png,0.58
2026-01-02,ThermalFalseColor,12.36,Sentinel-2B,ThermalFalseColor/2026-01-02_ThermalFalseColor.png,0.41
2026-01-02,RGB,12.36,Sentinel-2B,RGB/2026-01-02_RGB.png,0.55
2025-12-30,RGB,83.96,Sentinel-2B,RGB/2025-12-30_RGB.png,0.0
2025-12-30,ThermalFalseColor,83.96,Sentinel-2B,ThermalFalseColor/2025-12-30_ThermalFalseColor.png,0.13
2025-12-28,RGB,1.11,Sentinel-2B,RGB/2025-12-28_RGB.png,0.53
2025-12-28,ThermalFalseColor,1.11,Sentinel-2B,ThermalFalseColor/2025-12-28_ThermalFalseColor.png,0.39
2025-12-25,RGB,89.65,Sentinel-2B,RGB/2025-12-25_RGB.png,0.0
2025-12-25,ThermalFalseColor,89.65,Sentinel-2B,ThermalFalseColor/2025-12-25_ThermalFalseColor.png,0.05
2025-12-23,ThermalFalseColor,96.08,Sentinel-2B,ThermalFalseColor/2025-12-23_ThermalFalseColor.png,0.18
2025-12-23,RGB,96.08,Sentinel-2B,RGB/2025-12-23_RGB.png,0.1
2025-12-22,RGB,94.99,Sentinel-2B,RGB/2025-12-22_RGB.png,0.0
2025-12-22,ThermalFalseColor,94.99,Sentinel-2B,ThermalFalseColor/2025-12-22_ThermalFalseColor.png,0.1
2025-12-20,RGB,99.46,Sentinel-2B,RGB/2025-12-20_RGB.png,0.0
2025-12-20,ThermalFalseColor,99.46,Sentinel-2B,ThermalFalseColor/2025-12-20_ThermalFalseColor.png,0.13
2025-12-18,RGB,20.84,Sentinel-2B,RGB/2025-12-18_RGB.png,0.32
2025-12-18,ThermalFalseColor,20.84,Sentinel-2B,ThermalFalseColor/2025-12-18_ThermalFalseColor.png,0.29
