fecha,tipo,cobertura_nubosa,sensor,ruta_archivo,tamano_mb
2026-05-14,ThermalFalseColor,2.79,Sentinel-2B L2A,2026-05-14_ThermalFalseColor.png,0.56
2026-05-14,RGB,2.79,Sentinel-2B L2A,2026-05-14_RGB.png,0.9
2026-05-12,ThermalFalseColor,85.12,Sentinel-2C L2A,2026-05-12_ThermalFalseColor.png,0.53
2026-05-12,RGB,85.12,Sentinel-2C L2A,2026-05-12_RGB.png,0.82
2026-05-09,ThermalFalseColor,0.16,Sentinel-2C L2A,2026-05-09_ThermalFalseColor.png,0.35
2026-05-09,RGB,0.16,Sentinel-2C L2A,2026-05-09_RGB.png,0.29
2026-05-07,ThermalFalseColor,24.61,Sentinel-2B L2A,2026-05-07_ThermalFalseColor.png,0.31
2026-05-07,RGB,24.61,Sentinel-2B L2A,2026-05-07_RGB.png,0.15
2026-05-04,ThermalFalseColor,99.92,Sentinel-2A L2A,2026-05-04_ThermalFalseColor.png,0.16
2026-05-04,RGB,99.92,Sentinel-2A L2A,2026-05-04_RGB.png,0.0
2026-05-02,ThermalFalseColor,0.1,Sentinel-2C L2A,2026-05-02_ThermalFalseColor.png,0.47
2026-05-02,RGB,0.1,Sentinel-2C L2A,2026-05-02_RGB.png,0.87
2026-05-01,ThermalFalseColor,26.72,Sentinel-2A L2A,2026-05-01_ThermalFalseColor.png,0.47
2026-05-01,RGB,26.72,Sentinel-2A L2A,2026-05-01_RGB.png,0.63
2026-04-29,RGB,0.01,Sentinel-2C L2A,2026-04-29_RGB.png,0.92
2026-04-29,ThermalFalseColor,0.01,Sentinel-2C L2A,2026-04-29_ThermalFalseColor.png,0.47
2026-04-27,RGB,99.9,Sentinel-2B L2A,2026-04-27_RGB.png,0.17
2026-04-27,ThermalFalseColor,99.9,Sentinel-2B L2A,2026-04-27_ThermalFalseColor.png,0.27
2026-04-24,RGB,20.49,Sentinel-2B L2A,2026-04-24_RGB.png,0.9
2026-04-24,ThermalFalseColor,20.49,Sentinel-2B L2A,2026-04-24_ThermalFalseColor.png,0.52
2026-04-22,RGB,0.04,Sentinel-2C L2A,2026-04-22_RGB.png,0.71
2026-04-22,ThermalFalseColor,0.04,Sentinel-2C L2A,2026-04-22_ThermalFalseColor.png,0.5
2026-04-19,RGB,53.7,Sentinel-2C L2A,2026-04-19_RGB.png,0.75
2026-04-19,ThermalFalseColor,53.7,Sentinel-2C L2A,2026-04-19_ThermalFalseColor.png,0.5
2026-04-17,ThermalFalseColor,95.27,Sentinel-2B L2A,2026-04-17_ThermalFalseColor.png,0.37
2026-04-17,RGB,95.27,Sentinel-2B L2A,2026-04-17_RGB.png,0.39
2026-04-14,ThermalFalseColor,95.98,Sentinel-2B L2A,2026-04-14_ThermalFalseColor.png,0.14
2026-04-14,RGB,95.98,Sentinel-2B L2A,2026-04-14_RGB.png,0.09
2026-04-12,RGB,80.12,Sentinel-2C L2A,2026-04-12_RGB.png,0.58
2026-04-12,ThermalFalseColor,80.12,Sentinel-2C L2A,2026-04-12_ThermalFalseColor.png,0.42
2026-04-11,RGB,2.53,Sentinel-2A L2A,2026-04-11_RGB.png,0.89
2026-04-11,ThermalFalseColor,2.53,Sentinel-2A L2A,2026-04-11_ThermalFalseColor.png,0.5
2026-04-09,RGB,0.02,Sentinel-2C L2A,2026-04-09_RGB.png,0.91
2026-04-09,ThermalFalseColor,0.02,Sentinel-2C L2A,2026-04-09_ThermalFalseColor.png,0.5
2026-04-07,RGB,3.7,Sentinel-2B L2A,2026-04-07_RGB.png,0.89
2026-04-07,ThermalFalseColor,3.7,Sentinel-2B L2A,2026-04-07_ThermalFalseColor.png,0.49
2026-04-04,ThermalFalseColor,0.0,Sentinel-2B L2A,2026-04-04_ThermalFalseColor.png,0.52
2026-04-04,RGB,0.0,Sentinel-2B L2A,2026-04-04_RGB.png,0.91
2026-04-02,ThermalFalseColor,0.03,Sentinel-2C L2A,2026-04-02_ThermalFalseColor.png,0.51
2026-04-02,RGB,0.03,Sentinel-2C L2A,2026-04-02_RGB.png,0.92
2026-03-30,RGB,0.01,Sentinel-2C L2A,2026-03-30_RGB.png,0.79
2026-03-30,ThermalFalseColor,0.01,Sentinel-2C L2A,2026-03-30_ThermalFalseColor.png,0.49
2026-03-28,RGB,0.05,Sentinel-2B L2A,2026-03-28_RGB.png,0.76
2026-03-28,ThermalFalseColor,0.05,Sentinel-2B L2A,2026-03-28_ThermalFalseColor.png,0.47
2026-03-25,RGB,0.12,Sentinel-2B L2A,2026-03-25_RGB.png,0.52
2026-03-25,ThermalFalseColor,0.12,Sentinel-2B L2A,2026-03-25_ThermalFalseColor.png,0.36
2026-03-22,RGB,95.09,Sentinel-2A L2A,2026-03-22_RGB.png,0.0
2026-03-22,ThermalFalseColor,95.09,Sentinel-2A L2A,2026-03-22_ThermalFalseColor.png,0.16
2026-03-20,RGB,99.86,Sentinel-2C L2A,2026-03-20_RGB.png,0.02
2026-03-20,ThermalFalseColor,99.86,Sentinel-2C L2A,2026-03-20_ThermalFalseColor.png,0.14
2026-03-18,RGB,0.0,Sentinel-2B L2A,2026-03-18_RGB.png,0.69
2026-03-18,ThermalFalseColor,0.0,Sentinel-2B L2A,2026-03-18_ThermalFalseColor.png,0.43
2026-03-15,RGB,99.93,Sentinel-2B L2A,2026-03-15_RGB.png,0.0
2026-03-15,ThermalFalseColor,99.93,Sentinel-2B L2A,2026-03-15_ThermalFalseColor.png,0.12
2026-03-13,RGB,0.04,Sentinel-2C L2A,2026-03-13_RGB.png,0.54
2026-03-13,ThermalFalseColor,0.04,Sentinel-2C L2A,2026-03-13_ThermalFalseColor.png,0.37
2026-03-12,RGB,0.25,Sentinel-2A L2A,2026-03-12_RGB.png,0.56
2026-03-12,ThermalFalseColor,0.25,Sentinel-2A L2A,2026-03-12_ThermalFalseColor.png,0.38
2026-03-10,RGB,0.0,Sentinel-2C L2A,2026-03-10_RGB.png,0.56
2026-03-10,ThermalFalseColor,0.0,Sentinel-2C L2A,2026-03-10_ThermalFalseColor.png,0.38
2026-03-08,RGB,7.22,Sentinel-2B L2A,2026-03-08_RGB.png,0.54
2026-03-08,ThermalFalseColor,7.22,Sentinel-2B L2A,2026-03-08_ThermalFalseColor.png,0.36
2026-03-05,RGB,0.0,Sentinel-2B L2A,2026-03-05_RGB.png,0.57
2026-03-05,ThermalFalseColor,0.0,Sentinel-2B L2A,2026-03-05_ThermalFalseColor.png,0.38
2026-03-03,RGB,0.03,Sentinel-2C L2A,2026-03-03_RGB.png,0.58
2026-03-03,ThermalFalseColor,0.03,Sentinel-2C L2A,2026-03-03_ThermalFalseColor.png,0.38
2026-02-28,ThermalFalseColor,39.87,Sentinel-2C L2A,2026-02-28_ThermalFalseColor.png,0.33
2026-02-28,RGB,39.87,Sentinel-2C L2A,2026-02-28_RGB.png,0.46
